FID,CITY_NAME,GMI_ADMIN,ADMIN_NAME,FIPS_CNTRY,CNTRY_NAME,STATUS,POP,POP_RANK,POP_CLASS,PORT_ID,LABEL_FLAG,POP_SOURCE,lat,long
"113",Canelones,URY-CNL,Canelones,UY,Uruguay,Provincial capital,,"0",,"0","1",,-34.5380040255,-56.2840016049
"114",Santa Rosa,ARG-LPA,La Pampa,AR,Argentina,Provincial capital,,"5","100,000 to 249,999","0","0",UN_Data_2010_2020,-36.6280020724,-64.2879985600
"115",Bahia Blanca,ARG-BAI,Buenos Aires,AR,Argentina,Other,,"4","250,000 to 499,999","13815","0",UN_Data_2010_2020,-38.7252719676,-62.2740596161
"116",Viedma,ARG-RNE,Rio Negro,AR,Argentina,Provincial capital,,"0",,"0","0",,-40.8150269189,-62.9950317060
"117",Rawson,ARG-CHB,Chubut,AR,Argentina,Provincial capital,,"5","100,000 to 249,999","0","0",UN_Data_2010_2020,-43.2999990464,-65.0999965914
"118",Buenos Aires,ARG-DFD,Distrito Federal,AR,Argentina,National and provincial capital,,"1","5,000,000 and greater","13760","1",UN_Data_2010_2020,-34.6224960102,-58.4498336968
"119",San Salvador De Jujuy,ARG-JUJ,Jujuy,AR,Argentina,Provincial capital,,"4","250,000 to 499,999","0","0",UN_Data_2010_2020,-24.1980030019,-65.3010026418
"120",Salta,ARG-SAL,Salta,AR,Argentina,Provincial capital,,"3","500,000 to 999,999","0","1",UN_Data_2010_2020,-24.7889969447,-65.4080037138
"121",San Miguel De Tucuman,ARG-TCM,Tucuman,AR,Argentina,Provincial capital,,"3","500,000 to 999,999","0","0",UN_Data_2010_2020,-26.8290000614,-65.2139996080
"122",Santiago Del Estero,ARG-SDE,Santiago del Estero,AR,Argentina,Provincial capital,,"4","250,000 to 499,999","0","0",UN_Data_2010_2020,-27.7900020617,-64.2689997120
"123",Catamarca,ARG-CTM,Catamarca,AR,Argentina,Provincial capital,,"5","100,000 to 249,999","0","1",UN_Data_2010_2020,-28.4660009886,-65.7809995787
"124",La Rioja,ARG-LRI,La Rioja,AR,Argentina,Provincial capital,,"5","100,000 to 249,999","0","1",UN_Data_2010_2020,-29.4129989343,-66.8549966347
"125",Cordoba,ARG-CRD,Cordoba,AR,Argentina,Provincial capital,,"2","1,000,000 to 4,999,999","0","1",UN_Data_2010_2020,-31.3160039216,-64.1799986286
"126",San Luis,ARG-SLU,San Luis,AR,Argentina,Provincial capital,,"5","100,000 to 249,999","0","1",UN_Data_2010_2020,-33.3160020256,-66.3479997149
"127",Caacupe,PRY-CRD,Cordillera,PA,Paraguay,Provincial capital,,"0",,"0","0",,-25.3870019338,-57.1400005829
"128",Coronel Oviedo,PRY-CAA,Caaguazu,PA,Paraguay,Provincial capital,,"0",,"0","0",,-25.4529989683,-56.4280016789
"129",Paraguari,PRY-PRG,Paraguari,PA,Paraguay,Provincial capital,,"0",,"0","1",,-25.6239990251,-57.1509986269
"130",Villarrica,PRY-GUA,Guaira,PA,Paraguay,Provincial capital,,"0",,"0","0",,-25.7840010380,-56.4509966262
"131",Formosa,ARG-FRM,Formosa,AR,Argentina,Provincial capital,,"4","250,000 to 499,999","13340","1",UN_Data_2010_2020,-26.1829980264,-58.1769986369
"132",Pilar,PRY-NMB,Neembucu,PA,Paraguay,Provincial capital,,"0",,"0","0",,-26.8679969476,-58.2959966122
"133",Resistencia,ARG-CHA,Chaco,AR,Argentina,Provincial capital,,"4","250,000 to 499,999","13380","0",UN_Data_2010_2020,-27.4570019423,-58.9869986186
"134",Corrientes,ARG-CRR,Corrientes,AR,Argentina,Provincial capital,,"4","250,000 to 499,999","13370","1",UN_Data_2010_2020,-27.4869989997,-58.8179966115
"135",Ypacarai,PRY-CNT,Central,PA,Paraguay,Provincial capital,,"0",,"0","0",,-25.4060009472,-57.2830016320
"136",Caazapa,PRY-CAZ,Caazapa,PA,Paraguay,Provincial capital,,"0",,"0","1",,-26.1999989901,-56.3679986280
"137",San Juan Bautista,PRY-MSN,Misiones,PA,Paraguay,Provincial capital,,"0",,"0","0",,-26.6730029186,-57.1470026930
"138",Salto,URY-SAL,Salto,UY,Uruguay,Provincial capital,,"0",,"13180","1",,-31.3959960746,-57.9629966583
"139",Paysandu,URY-PYS,Paysandu,UY,Uruguay,Provincial capital,,"0",,"13170","1",,-32.3319959763,-58.0799965840
"140",Fray Bentos,URY-RNE,Rio Negro,UY,Uruguay,Provincial capital,,"0",,"13160","0",,-33.1389990490,-58.3039975817
"141",Mercedes,URY-SOR,Soriano,UY,Uruguay,Provincial capital,,"0",,"0","0",,-33.2780039987,-58.0149985743
"142",Durazno,URY-DRZ,Durazno,UY,Uruguay,Provincial capital,,"0",,"0","1",,-33.4170000124,-56.5100006522
"143",Trinidad,URY-FLR,Flores,UY,Uruguay,Provincial capital,,"0",,"0","0",,-33.5439989571,-56.9009966712
"144",Sao Paulo,BRA-SPA,Sao Paulo,BR,Brazil,Provincial capital,,"1","5,000,000 and greater","0","1",UN_Data_2010_2020,-23.5809989994,-46.6229965827
"145",Santos,BRA-SPA,Sao Paulo,BR,Brazil,Other,,"4","250,000 to 499,999","12970","0",UN_Data_2010_2020,-23.9546970115,-46.3094906038
"146",Curitiba,BRA-PAN,Parana,BR,Brazil,Provincial capital,,"2","1,000,000 to 4,999,999","0","0",UN_Data_2010_2020,-25.4300040210,-49.2849986606
"147",Florianopolis,BRA-SCT,Santa Catarina,BR,Brazil,Provincial capital,,"4","250,000 to 499,999","13030","0",UN_Data_2010_2020,-27.5759999177,-48.6189985873
"148",Porto Alegre,BRA-RGS,Rio Grande do Sul,BR,Brazil,Provincial capital,,"2","1,000,000 to 4,999,999","13080","0",UN_Data_2010_2020,-30.0400019559,-51.2080016861
"149",Rivera,URY-RIV,Rivera,UY,Uruguay,Provincial capital,,"0",,"0","1",,-30.8874060436,-55.5290366891
"150",Tacuarembo,URY-TCR,Tacuarembo,UY,Uruguay,Provincial capital,,"0",,"0","1",,-31.7050020563,-55.9829965926
"151",Melo,URY-CLA,Cerro Largo,UY,Uruguay,Provincial capital,,"0",,"0","0",,-32.3630009947,-54.1770025943
"152",Treinta Y Tres,URY-TYT,Treinta y Tres,UY,Uruguay,Provincial capital,,"0",,"0","0",,-33.2309970415,-54.3750026340
"153",Florida,URY-FLD,Florida,UY,Uruguay,Provincial capital,,"0",,"0","1",,-34.0990020245,-56.2149985597
"154",Minas,URY-LVL,Lavalleja,UY,Uruguay,Provincial capital,,"0",,"0","0",,-34.3749960020,-55.2269965765
"155",Rocha,URY-ROC,Rocha,UY,Uruguay,Provincial capital,,"0",,"0","1",,-34.4969999880,-54.3259976271
"156",Maldonado,URY-MLD,Maldonado,UY,Uruguay,Provincial capital,,"0",,"0","1",,-34.9129979402,-54.9479965883
"157",Montevideo,URY-MNT,Montevideo,UY,Uruguay,National and provincial capital,,"2","1,000,000 to 4,999,999","13120","1",UN_Data_2010_2020,-34.9200000502,-56.1699985883
"158",Salvador,BRA-BAH,Bahia,BR,Brazil,Provincial capital,,"2","1,000,000 to 4,999,999","12770","0",UN_Data_2010_2020,-12.9930030059,-38.4810026388
"159",Jamestown,SHN,St. Helena,SH,St. Helena,National and provincial capital,,"0",,"46690","0",,-15.9219990670,-5.7050006653
"160",Belo Horizonte,BRA-MGE,Minas Gerais,BR,Brazil,Provincial capital,,"2","1,000,000 to 4,999,999","0","0",UN_Data_2010_2020,-19.8520019757,-43.9090016904
"161",Vitoria,BRA-ESA,Espirito Santo,BR,Brazil,Provincial capital,,"4","250,000 to 499,999","12850","0",UN_Data_2010_2020,-20.3329979375,-40.4139955819
"162",Rio de Janeiro,BRA-RDJ,Rio de Janeiro,BR,Brazil,Other,,"1","5,000,000 and greater","12920","1",UN_Data_2010_2020,-22.7215710345,-43.4551855922
"163",Niteroi,BRA-RDJ,Rio de Janeiro,BR,Brazil,Provincial capital,,"4","250,000 to 499,999","12930","0",UN_Data_2010_2020,-22.8390030380,-42.8810036307
"164",Sao Luis,BRA-MRN,Maranhao,BR,Brazil,Provincial capital,,"3","500,000 to 999,999","12590","0",UN_Data_2010_2020,-2.5149960574,-44.3009965688
"165",Fortaleza,BRA-CEA,Ceara,BR,Brazil,Provincial capital,,"2","1,000,000 to 4,999,999","12650","0",UN_Data_2010_2020,-3.7829970536,-38.5890025702
"166",Teresina,BRA-PIA,Piaui,BR,Brazil,Provincial capital,,"3","500,000 to 999,999","0","0",UN_Data_2010_2020,-5.1049980155,-42.8020015664
"167",Natal,BRA-RGN,Rio Grande do Norte,BR,Brazil,Provincial capital,,"3","500,000 to 999,999","12690","0",UN_Data_2010_2020,-5.8059990411,-35.2109967183
"168",Joao Pessoa,BRA-PAA,Paraiba,BR,Brazil,Provincial capital,,"3","500,000 to 999,999","0","0",UN_Data_2010_2020,-7.1299980527,-34.8669985549
"169",Recife,BRA-PRN,Pernambuco,BR,Brazil,Provincial capital,,"2","1,000,000 to 4,999,999","12730","0",UN_Data_2010_2020,-8.0849969678,-34.9149956009
"170",Maceio,BRA-ALG,Alagoas,BR,Brazil,Provincial capital,,"3","500,000 to 999,999","12750","0",UN_Data_2010_2020,-9.6768900283,-35.7477206261
"171",Aracaju,BRA-SRG,Sergipe,BR,Brazil,Provincial capital,,"3","500,000 to 999,999","12760","0",UN_Data_2010_2020,-10.9109969924,-37.0600015743
"172",Galveston,USA-TEX,Texas,US,United States,Other,,"6","50,000 to 99,999","9150","0",US_Census_2019,29.3166990658,-94.7833016003
