server,url
VN Forest,http://maps.vnforest.gov.vn:802/geoserver
OpenDevelopment Mekong,https://data.opendevelopmentmekong.net/geoserver/ODMekong
Stanford University,https://geowebservices.stanford.edu:443/geoserver
IBGE,https://geoservicos.ibge.gov.br/geoserver
INDE,https://geoservicos.inde.gov.br/geoserver
FAO,https://www.fao.org/fishery/geoserver
