FID,CITY_NAME,GMI_ADMIN,ADMIN_NAME,FIPS_CNTRY,CNTRY_NAME,STATUS,POP,POP_RANK,POP_CLASS,PORT_ID,LABEL_FLAG,POP_SOURCE,lat,long
"2526",Thai Nguyen_Vietnam,"19",Tỉnh Thái Nguyên,VM,Vietnam,Thành phố trực thuộc tỉnh,"340403","4","250,000 to 499,999",,,General Statistics Office of Vietnam - 2019,"21.5944400462","105.8417523093"
"2527",Pho Yen_Vietnam,"19",Tỉnh Thái Nguyên,VM,Vietnam,Thành phố trực thuộc tỉnh,"196378","5","100,000 to 249,999",,,General Statistics Office of Vietnam - 2019,"21.4155521510","105.8739424786"
"2528",Lang Son_Vietnam,"20",Tỉnh Lạng Sơn,VM,Vietnam,Thành phố trực thuộc tỉnh,"103284","5","100,000 to 249,999",,,General Statistics Office of Vietnam - 2019,"21.8529379147","106.7609980074"
"2529",Cam Pha_Vietnam,"22",Tỉnh Quảng Ninh,VM,Vietnam,Thành phố trực thuộc tỉnh,"190232","5","100,000 to 249,999",,,General Statistics Office of Vietnam - 2019,"21.0099711590","107.2729003786"
"2530",Viet Tri_Vietnam,"25",Tỉnh Phú Thọ,VM,Vietnam,Thành phố trực thuộc tỉnh,"214777","5","100,000 to 249,999",,,General Statistics Office of Vietnam - 2019,"21.3065849770","105.4069675790"
"2531",Vinh Yen_Vietnam,"26",Tỉnh Vĩnh Phúc,VM,Vietnam,Thành phố trực thuộc tỉnh,"119128","5","100,000 to 249,999",,,General Statistics Office of Vietnam - 2019,"21.3095015760","105.5911002075"
"2532",Phuc Yen_Vietnam,"26",Tỉnh Vĩnh Phúc,VM,Vietnam,Thành phố trực thuộc tỉnh,"106002","5","100,000 to 249,999",,,General Statistics Office of Vietnam - 2019,"21.2369255702","105.7046159173"
"2533",Pleiku_Vietnam,"64",Tỉnh Gia Lai,VM,Vietnam,Thành phố trực thuộc tỉnh,"254802","4","250,000 to 499,999",,,General Statistics Office of Vietnam - 2019,"13.9777290587","107.9998277627"
"2534",Chi Linh_Vietnam,"30",Tỉnh Hải Dương,VM,Vietnam,Thành phố trực thuộc tỉnh,"220421","5","100,000 to 249,999",,,General Statistics Office of Vietnam - 2019,"21.1107453712","106.3882225274"
"2535",Thu Dau Mot_Vietnam,"74",Tỉnh Bình Dương,VM,Vietnam,Thành phố trực thuộc tỉnh,"321607","4","250,000 to 499,999",,,General Statistics Office of Vietnam - 2019,"10.9806950371","106.6520657125"
"2536",Thuan An_Vietnam,"74",Tỉnh Bình Dương,VM,Vietnam,Thành phố trực thuộc tỉnh,"508433","3","500,000 to 999,999",,,General Statistics Office of Vietnam - 2019,"10.9050859375","106.6996605110"
"2537",Hai Duong_Vietnam,"30",Tỉnh Hải Dương,VM,Vietnam,Thành phố trực thuộc tỉnh,"241373","5","100,000 to 249,999",,,General Statistics Office of Vietnam - 2019,"20.9378077652","106.3357687021"
"2538",Phu Ly_Vietnam,"35",Tỉnh Hà Nam,VM,Vietnam,Thành phố trực thuộc tỉnh,"158212","5","100,000 to 249,999",,,General Statistics Office of Vietnam - 2019,"20.5446560519","105.9155936646"
"2539",Vung Tau_Vietnam,"77",Tỉnh Bà Rịa - Vũng Tàu,VM,Vietnam,Thành phố trực thuộc tỉnh,"357124","4","250,000 to 499,999",,,General Statistics Office of Vietnam - 2019,"10.3584901524","107.0942463180"
"2540",Ba Ria_Vietnam,"77",Tỉnh Bà Rịa - Vũng Tàu,VM,Vietnam,Thành phố trực thuộc tỉnh,"108701","5","100,000 to 249,999",,,General Statistics Office of Vietnam - 2019,"10.4990844935","107.1676203275"
"2541",Phu Quoc_Vietnam,"91",Tỉnh Kiên Giang,VM,Vietnam,Thành phố trực thuộc tỉnh,"179480","5","100,000 to 249,999",,,General Statistics Office of Vietnam - 2019,"10.2163456720","103.9589455774"
"2542",Thanh Hoa_Vietnam,"38",Tỉnh Thanh Hóa,VM,Vietnam,Thành phố trực thuộc tỉnh,"359910","4","250,000 to 499,999",,,General Statistics Office of Vietnam - 2019,"19.8102896115","105.8064453291"
"2543",Rach Gia_Vietnam,"91",Tỉnh Kiên Giang,VM,Vietnam,Thành phố trực thuộc tỉnh,"227527","5","100,000 to 249,999",,,General Statistics Office of Vietnam - 2019,"10.0091148074","105.0831147307"
"2544",Ha Tien_Vietnam,"91",Tỉnh Kiên Giang,VM,Vietnam,Thành phố trực thuộc tỉnh,"81576","6","50,000 to 99,999",,,General Statistics Office of Vietnam - 2019,"10.3858697740","104.4897684306"
"2545",Vinh_Vietnam,"40",Tỉnh Nghệ An,VM,Vietnam,Thành phố trực thuộc tỉnh,"339114","4","250,000 to 499,999",,,General Statistics Office of Vietnam - 2019,"18.6686529496","105.6835645710"
"2546",Tay Ninh_Vietnam,"72",Tỉnh Tây Ninh,VM,Vietnam,Thành phố trực thuộc tỉnh,"133805","5","100,000 to 249,999",,,General Statistics Office of Vietnam - 2019,"11.3188697695","106.0989985592"
