name,type,link,author,gpx,date,layer
Bovine Run,running,https://www.strava.com/activities/9229748167,https://www.strava.com/athletes/7019519,https://www.strava.com/activities/9229748167/export_gpx,2023/06/08,bovine
Tiger Run,running,https://www.strava.com/activities/6674287751,https://ww,https://ww,2022/02/09,tiger
