airline,airline_id,src,src_id,dest,dest_id,codeshare,stops,equipment,src_lat,src_lon,dest_lat,dest_lon,id
2N,"3652",ARN,"737",LYC,"719",,"0",ATP,59.65190125,17.91860008,64.5483017,18.71619987,"136"
2N,"3652",ARN,"737",MHQ,"442",,"0",SF3,59.65190125,17.91860008,60.12220001,19.89819908,"137"
2N,"3652",ARN,"737",OER,"722",,"0",ATR,59.65190125,17.91860008,63.40829849,18.98999977,"138"
2N,"3652",ARN,"737",POR,"448",,"0",SF3,59.65190125,17.91860008,61.46170044,21.79999924,"139"
2N,"3652",ARN,"737",TRF,"664",,"0",SF3,59.65190125,17.91860008,59.18669891,10.25860024,"140"
2N,"3652",ARN,"737",VBY,"746",,"0",SF3 ATP,59.65190125,17.91860008,57.66279984,18.34620094,"141"
2N,"3652",ARN,"737",VHM,"729",,"0",SF3,59.65190125,17.91860008,64.57910156,16.83359909,"142"
2N,"3652",ARN,"737",VXO,"711",,"0",SF3,59.65190125,17.91860008,56.92910004,14.72799969,"143"
2N,"3652",HAD,"709",JKG,"688",,"0",ATP SF3,56.69110107,12.82019997,57.75759888,14.06869984,"147"
2N,"3652",HAD,"709",VXO,"711",,"0",SF3,56.69110107,12.82019997,56.92910004,14.72799969,"148"
2N,"3652",HMV,"5599",VHM,"729",,"0",SF3,65.80609894,15.08279991,64.57910156,16.83359909,"149"
2N,"3652",KOK,"435",POR,"448",,"0",SF3,63.72119904,23.14310074,61.46170044,21.79999924,"152"
2N,"3652",KRF,"718",GEV,"715",,"0",ATP,63.04859924,17.76889992,67.13240051,20.81459999,"154"
2N,"3652",MHQ,"442",TKU,"460",,"0",SF3,60.12220001,19.89819908,60.51409912,22.26280022,"159"
2N,"3652",VXO,"711",OSL,"644",,"0",SF3,56.92910004,14.72799969,60.121,11.0502,"170"
2O,"146",ADQ,"3531",KLN,"7162",,"0",BNI,57.75,-152.4940033,57.53509903,-153.9779968,"173"
2O,"146",KLN,"7162",KYK,"7161",,"0",BNI,57.53509903,-153.9779968,57.56710052,-154.4499969,"178"
2P,"897",CRM,"6024",MNL,"2397",,"0",DH4,12.5024004,124.6360016,14.5086,121.019997,"185"
2P,"897",DWC,"8076",MNL,"2397",,"0","330",24.896356,55.161389,14.5086,121.019997,"187"
2P,"897",MNL,"2397",BSO,"6019",,"0",DH4,14.5086,121.019997,20.4513,121.980003,"191"
