airline,airline_id,src,src_id,dest,dest_id,codeshare,stops,equipment,src_lat,src_lon,dest_lat,dest_lon,id
AP,"240",VCE,"1551",CTA,"1509",,"0","320",45.505299,12.3519,37.466801,15.0664,"11356"
AP,"240",VCE,"1551",LED,"2948",,"0","320",45.505299,12.3519,59.8003006,30.26250076,"11357"
AP,"240",VCE,"1551",PMO,"1512",,"0","320",45.505299,12.3519,38.175999,13.091,"11358"
AP,"240",VCE,"1551",PRG,"1587",,"0","320",45.505299,12.3519,50.1008,14.26,"11359"
AP,"240",VCE,"1551",SUF,"1508",,"0","320",45.505299,12.3519,38.905399,16.2423,"11360"
AP,"240",VCE,"1551",TIA,"1190",,"0","320",45.505299,12.3519,41.41469955,19.72060013,"11361"
AP,"240",VIE,"1613",CTA,"1509",,"0","320",48.11029816,16.56970024,37.466801,15.0664,"11362"
AP,"240",VRN,"1550",CTA,"1509",,"0","320",45.395699,10.8885,37.466801,15.0664,"11363"
AP,"240",VRN,"1550",PMO,"1512",,"0","320",45.395699,10.8885,38.175999,13.091,"11364"
AP,"240",VRN,"1550",TIA,"1190",,"0","320",45.395699,10.8885,41.41469955,19.72060013,"11365"
AR,"412",AEP,"2442",AFA,"2454",Y,"0",E90,-34.5592,-58.4156,-34.588299,-68.4039,"11366"
AR,"412",AEP,"2442",ASU,"2699",,"0","737",-34.5592,-58.4156,-25.23999977,-57.52000046,"11367"
AR,"412",AEP,"2442",BHI,"2501",,"0","737",-34.5592,-58.4156,-38.725,-62.1693,"11368"
AR,"412",AEP,"2442",BRC,"2513",,"0","737",-34.5592,-58.4156,-41.151199,-71.157501,"11369"
AR,"412",AEP,"2442",COR,"2443",,"0","737",-34.5592,-58.4156,-31.323601,-64.208,"11370"
AR,"412",AEP,"2442",CPC,"2517",Y,"0",E90,-34.5592,-58.4156,-40.075401,-71.137299,"11371"
AR,"412",AEP,"2442",CRD,"2487",,"0","737",-34.5592,-58.4156,-45.7853,-67.4655,"11372"
AR,"412",AEP,"2442",CTC,"2455",Y,"0",E90,-34.5592,-58.4156,-28.59560013,-65.75170136,"11373"
AR,"412",AEP,"2442",CWB,"2545",Y,"0",E90,-34.5592,-58.4156,-25.5284996,-49.17580032,"11374"
AR,"412",AEP,"2442",EQS,"2488",Y,"0",E90,-34.5592,-58.4156,-42.90800095,-71.13950348,"11375"
AR,"412",AEP,"2442",FLN,"2555",,"0","737",-34.5592,-58.4156,-27.67027855,-48.55250168,"11376"
AR,"412",AEP,"2442",FMA,"2470",Y,"0",E90,-34.5592,-58.4156,-26.2127,-58.2281,"11377"
AR,"412",AEP,"2442",FTE,"4061",,"0","737",-34.5592,-58.4156,-50.2803,-72.053101,"11378"
AR,"412",AEP,"2442",GIG,"2560",,"0","737",-34.5592,-58.4156,-22.80999947,-43.25055695,"11379"
AR,"412",AEP,"2442",GRU,"2564",,"0","737",-34.5592,-58.4156,-23.43555641,-46.47305679,"11380"
AR,"412",AEP,"2442",IGR,"2471",,"0","737",-34.5592,-58.4156,-25.737301,-54.4734,"11381"
AR,"412",AEP,"2442",IRJ,"2458",Y,"0",E90,-34.5592,-58.4156,-29.38159943,-66.79579926,"11382"
AR,"412",AEP,"2442",JUJ,"2477",,"0","737",-34.5592,-58.4156,-24.392799,-65.097801,"11383"
AR,"412",AEP,"2442",LUQ,"2467",Y,"0",E90,-34.5592,-58.4156,-33.27320099,-66.35639954,"11384"
AR,"412",AEP,"2442",MDQ,"2508",,"0","737",-34.5592,-58.4156,-37.9342,-57.5733,"11385"
AR,"412",AEP,"2442",MDZ,"2452",,"0","737",-34.5592,-58.4156,-32.83169937,-68.79290009,"11386"
AR,"412",AEP,"2442",MVD,"2816",,"0","737",-34.5592,-58.4156,-34.838402,-56.0308,"11387"
AR,"412",AEP,"2442",NQN,"2509",,"0","737",-34.5592,-58.4156,-38.949001,-68.155701,"11388"
AR,"412",AEP,"2442",PDP,"6777",Y,"0",E90,-34.5592,-58.4156,-34.85509872,-55.09429932,"11389"
AR,"412",AEP,"2442",POA,"2599",,"0","737",-34.5592,-58.4156,-29.99440002,-51.17139816,"11390"
AR,"412",AEP,"2442",PRA,"2439",Y,"0",E90,-34.5592,-58.4156,-31.7948,-60.4804,"11391"
AR,"412",AEP,"2442",PSS,"2474",,"0","737",-34.5592,-58.4156,-27.3858,-55.9707,"11392"
AR,"412",AEP,"2442",REL,"2490",,"0","737",-34.5592,-58.4156,-43.2105,-65.2703,"11393"
AR,"412",AEP,"2442",RES,"2469",,"0","737",-34.5592,-58.4156,-27.45,-59.0561,"11394"
AR,"412",AEP,"2442",RGA,"2495",,"0","737",-34.5592,-58.4156,-53.7777,-67.7494,"11395"
AR,"412",AEP,"2442",RGL,"2496",,"0","737",-34.5592,-58.4156,-51.6089,-69.3126,"11396"
AR,"412",AEP,"2442",RHD,"8914",Y,"0",E90,-34.5592,-58.4156,-27.4966,-64.93595,"11397"
AR,"412",AEP,"2442",ROS,"2440",Y,"0",E90,-34.5592,-58.4156,-32.9036,-60.785,"11398"
AR,"412",AEP,"2442",RSA,"2512",Y,"0",E90,-34.5592,-58.4156,-36.588299,-64.275703,"11399"
AR,"412",AEP,"2442",SCL,"2650",,"0","737",-34.5592,-58.4156,-33.39300156,-70.78579712,"11400"
AR,"412",AEP,"2442",SDE,"2456",,"0","737",-34.5592,-58.4156,-27.76555634,-64.30999756,"11401"
AR,"412",AEP,"2442",SFN,"2441",Y,"0",E90,-34.5592,-58.4156,-31.7117,-60.8117,"11402"
AR,"412",AEP,"2442",SLA,"2476",,"0","737",-34.5592,-58.4156,-24.8560009,-65.48619843,"11403"
AR,"412",AEP,"2442",TUC,"2460",,"0","737",-34.5592,-58.4156,-26.8409,-65.104897,"11404"
AR,"412",AEP,"2442",UAQ,"2461",,"0","737",-34.5592,-58.4156,-31.571501,-68.418198,"11405"
AR,"412",AEP,"2442",USH,"2497",,"0","737",-34.5592,-58.4156,-54.8433,-68.2958,"11406"
AR,"412",AEP,"2442",VDM,"2491",Y,"0",E90,-34.5592,-58.4156,-40.8692,-63.0004,"11407"
AR,"412",AFA,"2454",AEP,"2442",Y,"0",E90,-34.588299,-68.4039,-34.5592,-58.4156,"11408"
AR,"412",AFA,"2454",LUQ,"2467",Y,"0",E90,-34.588299,-68.4039,-33.27320099,-66.35639954,"11409"
AR,"412",ASU,"2699",AEP,"2442",,"0","737",-25.23999977,-57.52000046,-34.5592,-58.4156,"11410"
AR,"412",ASU,"2699",EZE,"3988",,"0","737",-25.23999977,-57.52000046,-34.8222,-58.5358,"11411"
AR,"412",BCN,"1218",EZE,"3988",,"0","340",41.2971,2.07846,-34.8222,-58.5358,"11412"
AR,"412",BHI,"2501",AEP,"2442",,"0","737",-38.725,-62.1693,-34.5592,-58.4156,"11413"
AR,"412",BOG,"2709",EZE,"3988",,"0","340",4.70159,-74.1469,-34.8222,-58.5358,"11414"
AR,"412",BRC,"2513",AEP,"2442",,"0","737",-41.151199,-71.157501,-34.5592,-58.4156,"11415"
AR,"412",BRC,"2513",COR,"2443",,"0","737",-41.151199,-71.157501,-31.323601,-64.208,"11416"
AR,"412",BRC,"2513",EZE,"3988",,"0","737",-41.151199,-71.157501,-34.8222,-58.5358,"11417"
AR,"412",BRC,"2513",MDZ,"2452",,"0","737",-41.151199,-71.157501,-32.83169937,-68.79290009,"11418"
AR,"412",BSB,"2531",EZE,"3988",,"0","737",-15.86916733,-47.92083359,-34.8222,-58.5358,"11419"
AR,"412",CCS,"2851",EZE,"3988",,"0","340",10.601194,-66.991222,-34.8222,-58.5358,"11420"
AR,"412",CNF,"2537",AEP,"2442",Y,"0",E90,-19.62444305,-43.9719429,-34.5592,-58.4156,"11421"
AR,"412",COR,"2443",AEP,"2442",,"0","737",-31.323601,-64.208,-34.5592,-58.4156,"11422"
AR,"412",COR,"2443",BRC,"2513",,"0","737",-31.323601,-64.208,-41.151199,-71.157501,"11423"
AR,"412",COR,"2443",EZE,"3988",,"0","737",-31.323601,-64.208,-34.8222,-58.5358,"11424"
AR,"412",COR,"2443",JUJ,"2477",Y,"0",E90,-31.323601,-64.208,-24.392799,-65.097801,"11425"
AR,"412",COR,"2443",MDZ,"2452",,"0","737",-31.323601,-64.208,-32.83169937,-68.79290009,"11426"
AR,"412",COR,"2443",SLA,"2476",Y,"0",E90,-31.323601,-64.208,-24.8560009,-65.48619843,"11427"
AR,"412",CPC,"2517",AEP,"2442",Y,"0",E90,-40.075401,-71.137299,-34.5592,-58.4156,"11428"
AR,"412",CRD,"2487",AEP,"2442",,"0","737",-45.7853,-67.4655,-34.5592,-58.4156,"11429"
AR,"412",CRD,"2487",NQN,"2509",,"0","737",-45.7853,-67.4655,-38.949001,-68.155701,"11430"
AR,"412",CTC,"2455",AEP,"2442",Y,"0",E90,-28.59560013,-65.75170136,-34.5592,-58.4156,"11431"
AR,"412",CUN,"1852",EZE,"3988",,"0","340",21.03650093,-86.87709808,-34.8222,-58.5358,"11432"
AR,"412",CWB,"2545",AEP,"2442",Y,"0",E90,-25.5284996,-49.17580032,-34.5592,-58.4156,"11433"
AR,"412",EQS,"2488",AEP,"2442",Y,"0",E90,-42.90800095,-71.13950348,-34.5592,-58.4156,"11434"
AR,"412",EZE,"3988",ASU,"2699",,"0","737",-34.8222,-58.5358,-25.23999977,-57.52000046,"11435"
AR,"412",EZE,"3988",BCN,"1218",,"0","340",-34.8222,-58.5358,41.2971,2.07846,"11436"
AR,"412",EZE,"3988",BOG,"2709",,"0","340",-34.8222,-58.5358,4.70159,-74.1469,"11437"
AR,"412",EZE,"3988",BRC,"2513",,"0","737",-34.8222,-58.5358,-41.151199,-71.157501,"11438"
AR,"412",EZE,"3988",BSB,"2531",,"0","737",-34.8222,-58.5358,-15.86916733,-47.92083359,"11439"
AR,"412",EZE,"3988",CCS,"2851",,"0","340",-34.8222,-58.5358,10.601194,-66.991222,"11440"
AR,"412",EZE,"3988",COR,"2443",,"0","737",-34.8222,-58.5358,-31.323601,-64.208,"11441"
AR,"412",EZE,"3988",CUN,"1852",,"0","340",-34.8222,-58.5358,21.03650093,-86.87709808,"11442"
AR,"412",EZE,"3988",FCO,"1555",,"0","340",-34.8222,-58.5358,41.8002778,12.2388889,"11443"
