airline,airline_id,src,src_id,dst,dst_id,stops,equipment,lon_f,lat_f,lon_t,lat_t
2N,"3652",TKU,"460",MHQ,"442","0",SF3,"22.2628","60.514099","19.898199","60.1222"
2O,"146",ADQ,"3531",KLN,"7162","0",BNI,"-152.494003","57.75","-153.977997","57.535099"
2O,"146",KLN,"7162",KYK,"7161","0",BNI,"-153.977997","57.535099","-154.449997","57.567101"
2P,"897",BSO,"6019",MNL,"2397","0",DH4,"121.980003","20.4513","121.019997","14.5086"
2P,"897",CRM,"6024",MNL,"2397","0",DH4,"124.636002","12.5024","121.019997","14.5086"
2P,"897",DWC,"8076",MNL,"2397","0","330","55.161389","24.896356","121.019997","14.5086"
2P,"897",SUG,"6016",MNL,"2397","0",DH4,"125.480947","9.755838","121.019997","14.5086"
2Z,"1729",BSB,"2531",OPS,"7367","0",AT7,"-47.920834","-15.869167","-55.586109","-11.885"
2Z,"1729",BSB,"2531",RAO,"2613","0",AT7,"-47.920834","-15.869167","-47.776669","-21.136389"
2Z,"1729",DOU,"7380",CGR,"2538","0",AT7,"-54.926601","-22.2019","-54.672501","-20.4687"
2Z,"1729",GIG,"2560",RAO,"2613","0",AT7,"-43.250557","-22.809999","-47.776669","-21.136389"
2Z,"1729",GRU,"2564",CAC,"2535","0",AT7,"-46.473057","-23.435556","-53.500801","-25.000299"
2Z,"1729",GRU,"2564",DOU,"7380","0",AT7,"-46.473057","-23.435556","-54.926601","-22.2019"
2Z,"1729",GRU,"2564",RAO,"2613","0",AT7,"-46.473057","-23.435556","-47.776669","-21.136389"
2Z,"1729",GRU,"2564",UBA,"2635","0",AT7,"-46.473057","-23.435556","-47.96611","-19.764723"
2Z,"1729",GRU,"2564",UDI,"2633","0",AT7,"-46.473057","-23.435556","-48.225277","-18.883612"
2Z,"1729",GRU,"2564",VDC,"6039","0",AT7,"-46.473057","-23.435556","-40.863098","-14.8628"
2Z,"1729",GYN,"2562",RAO,"2613","0",AT7,"-49.220699","-16.632","-47.776669","-21.136389"
2Z,"1729",GYN,"2562",UDI,"2633","0",AT7,"-49.220699","-16.632","-48.225277","-18.883612"
2Z,"1729",RAO,"2613",PLU,"2528","0",AT7,"-47.776669","-21.136389","-43.9506","-19.8512"
2Z,"1729",RAO,"2613",UDI,"2633","0",AT7,"-47.776669","-21.136389","-48.225277","-18.883612"
2Z,"1729",UDI,"2633",UBA,"2635","0",AT7,"-48.225277","-18.883612","-47.96611","-19.764723"
3E,"10739",DEC,"4042",STL,"3678","0",CNC,"-88.8657","39.834599","-90.370003","38.748697"
3E,"10739",JBR,"3591",STL,"3678","0",CNC,"-90.6464","35.831699","-90.370003","38.748697"
3E,"10739",ORD,"3830",BRL,"5726","0",CNC,"-87.9048","41.9786","-91.125504","40.783199"
3E,"10739",ORD,"3830",DEC,"4042","0",CNC,"-87.9048","41.9786","-88.8657","39.834599"
3E,"10739",STL,"3678",BRL,"5726","0",CNC,"-90.370003","38.748697","-91.125504","40.783199"
3F,"16262",KTN,"3808",MTM,"7146","0",DHP,"-131.714004","55.355598","-131.578003","55.131001"
3G,"595",BJL,"1050",FNA,"1059","0","319","-16.652201","13.338","-13.1955","8.61644"
3G,"595",DKR,"1084",ACC,"248","0","319","-17.4902","14.7397","-0.166786","5.60519"
3G,"595",DKR,"1084",BJL,"1050","0","319","-17.4902","14.7397","-16.652201","13.338"
3G,"595",DKR,"1084",DLA,"897","0","319","-17.4902","14.7397","9.71948","4.00608"
3G,"595",LGW,"502",FNA,"1059","0","319","-0.190278","51.148102","-13.1955","8.61644"
3G,"595",LOS,"273",DKR,"1084","0","319","3.32116","6.57737","-17.4902","14.7397"
3G,"595",LOS,"273",DLA,"897","0","319","3.32116","6.57737","9.71948","4.00608"
3G,"595",LOS,"273",ROB,"1063","0","319","3.32116","6.57737","-10.3623","6.23379"
3H,\N,AKV,"5506",YPX,"6727","0",DH8,"-78.148598","60.8186","-77.286903","60.050598"
3H,\N,YGL,"62",YPX,"6727","0",73M,"-77.704201","53.625301","-77.286903","60.050598"
3H,\N,YGW,"5496",YGL,"62","0",DHT,"-77.765297","55.281898","-77.704201","53.625301"
3H,\N,YGW,"5496",YPH,"5520","0",BET,"-77.765297","55.281898","-78.076897","58.471901"
3H,\N,YIK,"5504",AKV,"5506","0",DH8,"-77.925301","62.417301","-78.148598","60.8186"
3H,\N,YPJ,"5508",YKG,"5481","0",DHT DH8,"-69.599701","59.2967","-69.999199","60.027199"
3H,\N,YPX,"6727",YPH,"5520","0",DH8,"-77.286903","60.050598","-78.076897","58.471901"
3H,\N,YPX,"6727",YVP,"154","0",BET,"-77.286903","60.050598","-68.426903","58.0961"
3H,\N,YQB,"111",YKL,"80","0",DH8,"-71.393303","46.7911","-66.805298","54.805302"
3H,\N,YQC,"5499",YKG,"5481","0",DH8,"-69.617798","61.046398","-69.999199","60.027199"
3H,\N,YQC,"5499",YWB,"7253","0",DH8,"-69.617798","61.046398","-71.929398","61.5886"
3H,\N,YSK,"5529",YGW,"5496","0",DH8,"-79.246696","56.5378","-77.765297","55.281898"
3H,\N,YTQ,"6728",YPJ,"5508","0",DHT DH8,"-69.955803","58.667801","-69.599701","59.2967"
3H,\N,YTQ,"6728",YVP,"154","0",DHT DH8,"-69.955803","58.667801","-68.426903","58.0961"
3H,\N,YUD,"5515",YGW,"5496","0",DH8,"-76.518303","56.536098","-77.765297","55.281898"
3H,\N,YUD,"5515",YPH,"5520","0",DH8,"-76.518303","56.536098","-78.076897","58.471901"
3H,\N,YUD,"5515",YSK,"5529","0",DH8,"-76.518303","56.536098","-79.246696","56.5378"
3H,\N,YUL,"146",YGL,"62","0",73M,"-73.740799","45.4706","-77.704201","53.625301"
3H,\N,YUL,"146",YGW,"5496","0",DH8,"-73.740799","45.4706","-77.765297","55.281898"
3H,\N,YUL,"146",YQB,"111","0",DH8,"-73.740799","45.4706","-71.393303","46.7911"
3H,\N,YUL,"146",YUY,"149","0",DH8,"-73.740799","45.4706","-78.835602","48.2061"
3H,\N,YUY,"149",YGW,"5496","0",DH8,"-78.835602","48.2061","-77.765297","55.281898"
3H,\N,YVP,"154",XGR,"5512","0",DHT BET,"-68.426903","58.0961","-65.992798","58.711399"
3H,\N,YVP,"154",YGW,"5496","0",BET,"-68.426903","58.0961","-77.765297","55.281898"
3H,\N,YVP,"154",YKG,"5481","0",DH8,"-68.426903","58.0961","-69.999199","60.027199"
3H,\N,YVP,"154",YKL,"80","0",DH8 BET,"-68.426903","58.0961","-66.805298","54.805302"
3H,\N,YVP,"154",YPH,"5520","0",BET,"-68.426903","58.0961","-78.076897","58.471901"
3H,\N,YVP,"154",YPJ,"5508","0",DHT,"-68.426903","58.0961","-69.599701","59.2967"
3H,\N,YWK,"161",YKL,"80","0",BET,"-66.864403","52.921902","-66.805298","54.805302"
3H,\N,YZG,"5535",YIK,"5504","0",DH8,"-75.667198","62.179401","-77.925301","62.417301"
3H,\N,YZG,"5535",YWB,"7253","0",DH8,"-75.667198","62.179401","-71.929398","61.5886"
3H,\N,YZV,"202",YKL,"80","0",BET DH8,"-66.265602","50.223301","-66.805298","54.805302"
3J,"5521",JIB,"4119",JED,"2072","0","737","43.1595","11.5473","39.156502","21.6796"
3K,"3021",DRW,"3999",SIN,"3316","0","320","130.876999","-12.4147","103.994003","1.35019"
3K,"3021",HGH,"3386",SIN,"3316","0","320","120.433998","30.2295","103.994003","1.35019"
3K,"3021",SIN,"3316",PNH,"3034","0","320","103.994003","1.35019","104.844002","11.5466"
3K,"3021",SIN,"3316",REP,"3035","0","320","103.994003","1.35019","103.813004","13.4107"
3K,"3021",SIN,"3316",SGN,"3205","0","320","103.994003","1.35019","106.652","10.8188"
3K,"3021",SWA,"4302",SIN,"3316","0","320","116.5033","23.552","103.994003","1.35019"
3L,"2916",DRS,"338",ZRH,"1678","0",DH3,"13.7672","51.132801","8.54917","47.464699"
3L,"2916",DUS,"345",FDH,"382","0",DH3,"6.76678","51.289501","9.51149","47.671299"
3L,"2916",EBA,"1558",ACH,"1679","0",DH3,"10.2394","42.7603","9.56077","47.485001"
3L,"2916",EBA,"1558",FDH,"382","0",DH3,"10.2394","42.7603","9.51149","47.671299"
3L,"2916",EBA,"1558",ZRH,"1678","0",DH3,"10.2394","42.7603","8.54917","47.464699"
3L,"2916",FDH,"382",ZAD,"1209","0",AT7,"9.51149","47.671299","15.3467","44.108299"
3L,"2916",GRZ,"1609",ZRH,"1678","0",DH3,"15.4396","46.9911","8.54917","47.464699"
3L,"2916",HAM,"342",FDH,"382","0",AT7,"9.98823","53.630402","9.51149","47.671299"
3L,"2916",MUC,"346",EBA,"1558","0",DH3,"11.7861","48.353802","10.2394","42.7603"
3L,"2916",NAP,"1561",FMM,"3986","0",AT7,"14.2908","40.886002","10.2395","47.9888"
3L,"2916",OLB,"1520",FDH,"382","0",AT7,"9.51763","40.898701","9.51149","47.671299"
3L,"2916",SZG,"1612",ZRH,"1678","0",DH3,"13.0043","47.793301","8.54917","47.464699"
3L,"2916",TXL,"351",FDH,"382","0",AT7,"13.2877","52.5597","9.51149","47.671299"
3M,"20710",BIM,"1937",FLL,"3533","0",SF3,"-79.264702","25.6999","-80.152702","26.072599"
3M,"20710",ELH,"1943",FLL,"3533","0",SF3,"-76.683502","25.474899","-80.152702","26.072599"
3M,"20710",EYW,"3875",FLL,"3533","0",SF3,"-81.759598","24.556101","-80.152702","26.072599"
3M,"20710",FPO,"1948",FLL,"3533","0",SF3,"-78.695602","26.558701","-80.152702","26.072599"
3M,"20710",GGT,"1941",FLL,"3533","0",SF3,"-75.877998","23.562599","-80.152702","26.072599"
3M,"20710",GGT,"1941",GHB,"1944","0",SF3,"-75.877998","23.562599","-76.331001","25.2847"
3M,"20710",GHB,"1944",FLL,"3533","0",SF3,"-76.331001","25.2847","-80.152702","26.072599"
3M,"20710",GNV,"3472",TPA,"3646","0",SF3,"-82.271797","29.6901","-82.533203","27.9755"
3M,"20710",JAX,"3712",MHH,"1930","0",SF3,"-81.687897","30.494101","-77.083503","26.5114"
3M,"20710",JAX,"3712",TPA,"3646","0",SF3,"-81.687897","30.494101","-82.533203","27.9755"
3M,"20710",LWB,"6958",ATL,"3682","0",SF3,"-80.399498","37.858299","-84.428101","33.6367"
3M,"20710",MCN,"3754",ATL,"3682","0",SF3,"-83.6492","32.692799","-84.428101","33.6367"
3M,"20710",MCO,"3878",FLL,"3533","0",SF3,"-81.308998","28.429399","-80.152702","26.072599"
3M,"20710",MCO,"3878",GNV,"3472","0",SF3,"-81.308998","28.429399","-82.271797","29.6901"
3M,"20710",MCO,"3878",MCN,"3754","0",SF3,"-81.308998","28.429399","-83.6492","32.692799"
3M,"20710",MCO,"3878",MHH,"1930","0",SF3,"-81.308998","28.429399","-77.083503","26.5114"
3M,"20710",MCO,"3878",PNS,"3564","0",SF3,"-81.308998","28.429399","-87.1866","30.4734"
3M,"20710",MCO,"3878",RSW,"3793","0",SF3,"-81.308998","28.429399","-81.755203","26.5362"
3M,"20710",MCO,"3878",TLH,"3698","0",SF3,"-81.308998","28.429399","-84.350304","30.3965"
3M,"20710",MEI,"4335",ATL,"3682","0",SF3,"-88.7519","32.3326","-84.428101","33.6367"
3M,"20710",MHH,"1930",FLL,"3533","0",SF3,"-77.083503","26.5114","-80.152702","26.072599"
3M,"20710",MSL,"5756",ATL,"3682","0",SF3,"-87.610199","34.7453","-84.428101","33.6367"
