longitude,latitude
"105.02685","8.628864"
"105.058311","8.657758"
"104.975113","9.07497"
"104.828203","9.044156"
"104.820634","9.039449"
"104.843479","9.053826"
"104.821793","9.036679"
"105.09031","9.349248"
"105.149497","9.406988"
"104.972494","9.410037"
"104.831678","9.347171"
"105.04988","9.241847"
"105.033233","9.250802"
"105.060781","9.241874"
"105.056307","9.242036"
"105.139959","9.148073"
"105.140157","9.148217"
"105.155117","9.171213"
"105.251783","9.165946"
"105.196855","8.996367"
"105.193785","8.993058"
"105.054451","8.876284"
"105.069703","8.885617"
"105.015395","8.939716"
"105.013572","8.9332"
"104.805208","8.860879"
"104.817623","8.862176"
"104.993161","8.762316"
"105.03028","8.772199"
"105.02685","8.628864"
"105.058311","8.657758"
"104.975113","9.07497"
"104.828203","9.044156"
"104.820634","9.039449"
"104.843479","9.053826"
"104.821793","9.036679"
"105.09031","9.349248"
"105.149497","9.406988"
"104.972494","9.410037"
"104.831678","9.347171"
"105.04988","9.241847"
"105.033233","9.250802"
"105.060781","9.241874"
"105.056307","9.242036"
"105.152793","9.174816"
"105.152475","9.174843"
"105.143884","9.180626"
"105.145013","9.179351"
"105.150877","9.184359"
"105.130193","9.201806"
"105.16856","9.176745"
"105.150127","9.175658"
"105.148767","9.166704"
"105.148103","9.190647"
"105.158476","9.181995"
"105.161133","9.179959"
"105.144242","9.164101"
"105.149547","9.182433"
"105.21507","9.172505"
"105.211282","9.169893"
"105.214049","9.169041"
"105.214661","9.17218"
"105.21272","9.169739"
"105.130222","9.206093"
"105.127618","9.206836"
"105.128328","9.204412"
"105.128483","9.206049"
"105.218167","9.217367"
"105.264333","9.257833"
"104.857133","9.177733"
"104.89285","8.910817"
"104.90385","9.326583"
"105.045567","9.458867"
"105.1469","8.925267"
"105.3276","9.00825"
"105.055633","9.049867"
"105.127617","9.03795"
"104.867583","8.847333"
"105.1128","9.1475"
"105.168883","9.061167"
"105.080833","9.43595"
"104.917267","9.10665"
"104.94145","9.23405"
"104.978175","9.246231"
"105.462783","10.28401"
"105.434518","10.189772"
"105.243781","10.22565"
"105.426874","10.229115"
"105.437876","10.194877"
"105.487791","10.239078"
"105.472418","10.25387"
"105.550895","10.265847"
"105.576206","10.224119"
"105.594693","10.223489"
"105.527171","10.249209"
"105.506949","10.302981"
"105.549388","10.23888"
"105.548075","10.224303"
"105.523757","10.244041"
"105.578005","10.204409"
"105.580966","10.24105"
"105.551189","10.176817"
"105.505689","10.291497"
"105.507313","10.290636"
"105.557366","10.242756"
"105.487333","10.189797"
"105.515579","10.206558"
"105.44491","10.119113"
"105.490345","10.177972"
"105.494498","10.200657"
"105.465809","10.085422"
"105.443297","10.134437"
"105.430107","10.093076"
"105.416758","10.067281"
"105.461506","10.088738"
"105.504677","10.078156"
"105.446209","10.121047"
"105.591209","10.086162"
