id,name,city,country,faa,icao,alt,tz-offset,dst,tz,longitude,latitude
"137",Nanisivik Airport,Nanisivik,Canada,YSR,CYSR,"2106","-5",A,America/Toronto,-84.613602,72.982201
"138",Summerside Airport,Summerside,Canada,YSU,CYSU,"56","-4",A,America/Halifax,-63.833599,46.440601
"139",Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,Sachs Harbour,Canada,YSY,CYSY,"282","-7",A,America/Edmonton,-125.242996,71.993896
"140",Cape Dorset Airport,Cape Dorset,Canada,YTE,CYTE,"164","-5",A,America/Toronto,-76.526703,64.230003
"141",Thompson Airport,Thompson,Canada,YTH,CYTH,"729","-6",A,America/Winnipeg,-97.864197,55.801102
"142",CFB Trenton,Trenton,Canada,YTR,CYTR,"283","-5",A,America/Toronto,-77.528099,44.1189
"143",Timmins/Victor M. Power,Timmins,Canada,YTS,CYTS,"967","-5",A,America/Toronto,-81.376701,48.569698
"144",Billy Bishop Toronto City Centre Airport,Toronto,Canada,YTZ,CYTZ,"252","-5",A,America/Toronto,-79.396202,43.627499
"145",Tuktoyaktuk Airport,Tuktoyaktuk,Canada,YUB,CYUB,"15","-7",A,America/Edmonton,-133.026001,69.433296
"146",Montreal / Pierre Elliott Trudeau International Airport,Montreal,Canada,YUL,CYUL,"118","-5",A,America/Toronto,-73.740799,45.4706
"147",Repulse Bay Airport,Repulse Bay,Canada,YUT,CYUT,"80","-6",A,America/Winnipeg,-86.224701,66.5214
"148",Hall Beach Airport,Hall Beach,Canada,YUX,CYUX,"30","-5",A,America/Toronto,-81.2425,68.7761
"149",Rouyn Noranda Airport,Rouyn,Canada,YUY,CYUY,"988","-5",A,America/Toronto,-78.835602,48.2061
"150",La Ronge Airport,La Ronge,Canada,YVC,CYVC,"1242","-6",N,America/Regina,-105.262001,55.151402
"151",Vermilion Airport,Vermillion,Canada,YVG,CYVG,"2025","-7",A,America/Edmonton,-110.823997,53.355801
"152",Qikiqtarjuaq Airport,Broughton Island,Canada,YVM,CYVM,"21","-5",A,America/Toronto,-64.031403,67.545799
"153",Val-d'Or Airport,Val D'or,Canada,YVO,CYVO,"1107","-5",A,America/Toronto,-77.782799,48.053299
"154",Kuujjuaq Airport,Quujjuaq,Canada,YVP,CYVP,"129","-5",A,America/Toronto,-68.426903,58.0961
"155",Norman Wells Airport,Norman Wells,Canada,YVQ,CYVQ,"238","-7",A,America/Edmonton,-126.797997,65.281601
"156",Vancouver International Airport,Vancouver,Canada,YVR,CYVR,"14","-8",A,America/Vancouver,-123.183998,49.193901
"157",Buffalo Narrows Airport,Buffalo Narrows,Canada,YVT,CYVT,"1423","-6",N,America/Regina,-108.417999,55.8419
"158",Wiarton Airport,Wiarton,Canada,YVV,CYVV,"729","-5",A,America/Toronto,-81.107201,44.7458
"159",Petawawa Airport,Petawawa,Canada,YWA,CYWA,"427","-5",A,America/Toronto,-77.319199,45.952202
"160",Winnipeg / James Armstrong Richardson International Airport,Winnipeg,Canada,YWG,CYWG,"783","-6",A,America/Winnipeg,-97.239899,49.91
"161",Wabush Airport,Wabush,Canada,YWK,CYWK,"1808","-4",A,America/Halifax,-66.864403,52.921902
"162",Williams Lake Airport,Williams Lake,Canada,YWL,CYWL,"3085","-8",A,America/Vancouver,-122.054001,52.183102
"163",Wrigley Airport,Wrigley,Canada,YWY,CYWY,"489","-7",A,America/Edmonton,-123.436996,63.2094
"164",Cranbrook/Canadian Rockies International Airport,Cranbrook,Canada,YXC,CYXC,"3082","-7",A,America/Edmonton,-115.781998,49.610802
"165",Edmonton City Centre (Blatchford Field) Airport,Edmonton,Canada,YXD,CYXD,"2202","-7",A,America/Edmonton,-113.521004,53.572498
"166",Saskatoon John G. Diefenbaker International Airport,Saskatoon,Canada,YXE,CYXE,"1653","-6",N,America/Regina,-106.699997,52.170799
"167",Medicine Hat Airport,Medicine Hat,Canada,YXH,CYXH,"2352","-7",A,America/Edmonton,-110.721001,50.018902
"168",Fort St John Airport,Fort Saint John,Canada,YXJ,CYXJ,"2280","-7",A,America/Dawson_Creek,-120.739998,56.238098
"169",Sioux Lookout Airport,Sioux Lookout,Canada,YXL,CYXL,"1258","-6",A,America/Winnipeg,-91.905296,50.113899
"170",Pangnirtung Airport,Pangnirtung,Canada,YXP,CYXP,"75","-5",A,America/Toronto,-65.7136,66.144997
"171",Earlton (Timiskaming Regional) Airport,Earlton,Canada,YXR,CYXR,"800","-5",A,America/Toronto,-79.847345,47.697401
"172",Prince George Airport,Prince George,Canada,YXS,CYXS,"2267","-8",A,America/Vancouver,-122.679001,53.8894
"173",Northwest Regional Airport Terrace-Kitimat,Terrace,Canada,YXT,CYXT,"713","-8",A,America/Vancouver,-128.576009,54.468498
"174",London Airport,London,Canada,YXU,CYXU,"912","-5",A,America/Toronto,-81.1539,43.035599
"175",Abbotsford Airport,Abbotsford,Canada,YXX,CYXX,"195","-8",A,America/Vancouver,-122.361,49.025299
"176",Whitehorse / Erik Nielsen International Airport,Whitehorse,Canada,YXY,CYXY,"2317","-8",A,America/Vancouver,-135.067001,60.709599
"177",North Bay Jack Garland Airport,North Bay,Canada,YYB,CYYB,"1215","-5",A,America/Toronto,-79.422798,46.363602
"178",Calgary International Airport,Calgary,Canada,YYC,CYYC,"3557","-7",A,America/Edmonton,-114.019997,51.113899
"179",Smithers Airport,Smithers,Canada,YYD,CYYD,"1712","-8",A,America/Vancouver,-127.182999,54.824699
"180",Fort Nelson Airport,Fort Nelson,Canada,YYE,CYYE,"1253","-8",A,America/Vancouver,-122.597,58.836399
"181",Penticton Airport,Penticton,Canada,YYF,CYYF,"1129","-8",A,America/Vancouver,-119.601997,49.4631
"182",Charlottetown Airport,Charlottetown,Canada,YYG,CYYG,"160","-4",A,America/Halifax,-63.121101,46.290001
"183",Taloyoak Airport,Spence Bay,Canada,YYH,CYYH,"92","-7",A,America/Edmonton,-93.576698,69.5467
"184",Victoria International Airport,Victoria,Canada,YYJ,CYYJ,"63","-8",A,America/Vancouver,-123.426003,48.6469
"185",Lynn Lake Airport,Lynn Lake,Canada,YYL,CYYL,"1170","-6",A,America/Winnipeg,-101.075996,56.863899
"186",Swift Current Airport,Swift Current,Canada,YYN,CYYN,"2680","-6",N,America/Regina,-107.691002,50.291901
"187",Churchill Airport,Churchill,Canada,YYQ,CYYQ,"94","-6",A,America/Winnipeg,-94.065002,58.739201
"188",Goose Bay Airport,Goose Bay,Canada,YYR,CYYR,"160","-4",A,America/Halifax,-60.4258,53.319199
"189",St. John's International Airport,St. John's,Canada,YYT,CYYT,"461","-3.5",A,America/St_Johns,-52.7519,47.618599
"190",Kapuskasing Airport,Kapuskasing,Canada,YYU,CYYU,"743","-5",A,America/Toronto,-82.467499,49.413898
"191",Armstrong Airport,Armstrong,Canada,YYW,CYYW,"1058","-5",A,America/Toronto,-88.909698,50.290298
"192",Mont Joli Airport,Mont Joli,Canada,YYY,CYYY,"172","-5",A,America/Toronto,-68.208099,48.608601
"193",Lester B. Pearson International Airport,Toronto,Canada,YYZ,CYYZ,"569","-5",A,America/Toronto,-79.6306,43.6772
"194",Downsview Airport,Toronto,Canada,YZD,CYZD,"652","-5",A,America/Toronto,-79.465599,43.7425
"195",Gore Bay Manitoulin Airport,Gore Bay,Canada,YZE,CYZE,"635","-5",A,America/Toronto,-82.567802,45.8853
"196",Yellowknife Airport,Yellowknife,Canada,YZF,CYZF,"675","-7",A,America/Edmonton,-114.440002,62.462799
