id,matram,kyhieu,longitude,latitude,latitude,wqi
115,TGLX032020,TGLX3,106.35,11.32,1.24,12
116,TGLX042020,TGLX4,105.06,10.44,1.92,14
117,TGLX052020,TGLX5,104.87,10.51,0.33,32
118,TGLX062020,TGLX6,104.64,10.53,0.38,35
119,TGLX072020,TGLX7,105.09,10.02,0.58,24
120,TGLX082020,TGLX8,104.93,10.19,0.57,32
121,TGLX092020,TGLX9,104.74,10.28,0.25,28
122,TGLX102020,TGLX10,104.52,10.37,0.97,12
123,TGLX112020,TGLX11,105.11,10.44,0.99,23
124,TGLX122020,TGLX12,104.86,10.36,1.24,25
125,TGLX012021,TGLX1,105.06,10.44,1.94,54
126,TGLX022021,TGLX2,105.10,10.71,-1.20,58
127,TGLX032021,TGLX3,105.13,10.27,1.24,48
128,TGLX042021,TGLX4,105.06,10.44,1.92,34
129,TGLX052021,TGLX5,104.87,10.51,0.33,54
130,TGLX062021,TGLX6,104.64,10.53,0.38,50
131,TGLX072021,TGLX7,105.09,10.02,0.58,35
132,TGLX082021,TGLX8,104.93,10.19,0.57,41
133,TGLX092021,TGLX9,104.74,10.28,0.25,43
134,TGLX102021,TGLX10,104.52,10.37,0.97,46
135,TGLX112021,TGLX11,105.11,10.44,0.99,55
136,TGLX122021,TGLX12,104.86,10.36,0.68,45
137,TGLX132021,DD1,105.18,10.07,0.91,35
138,TGLX142021,DD2,104.84,10.24,0.91,48
139,TGLX152021,DD3,104.73,10.28,0.91,52
140,TGLX162021,DD4,104.61,10.27,0.91,50
141,TGLX172021,DD5,105.47,10.36,0.91,49
142,TGLX012022,TGLX1,105.48,10.31,1.94,36
143,TGLX022022,TGLX2,105.10,10.71,-1.20,41
144,TGLX032022,TGLX3,105.13,10.27,1.24,39
145,TGLX042022,TGLX4,105.06,10.44,1.92,23
146,TGLX052022,TGLX5,104.87,10.51,0.33,34
147,TGLX062022,TGLX6,104.64,10.53,0.38,55
148,TGLX072022,TGLX7,105.09,10.02,0.58,45
149,TGLX082022,TGLX8,104.93,10.19,0.57,45
150,TGLX092022,TGLX9,104.74,10.28,0.25,27
151,TGLX102022,TGLX10,104.52,10.37,0.97,39
152,TGLX112022,TGLX11,105.26,10.26,0.99,44
153,TGLX122022,TGLX12,104.86,10.36,1.42,23
154,TGLX132022,TGLX13,105.41,10.37,1.53,44
155,TGLX142022,TGLX14,105.21,10.62,-1.23,37
156,VC00012021,VC01,106.56,10.5,-1.23,28
157,VC00022021,VC02,106.41,10.54,0.02,29
158,VC00032021,VC03,106.38,10.64,0.70,27
159,VC00042021,VC04,106.27,10.66,0.82,30
160,VC00052021,VC05,105.93,10.78,0.01,30
161,VC00062021,VC06,106.27,10.78,1.00,3
162,VC00072021,VC07,106.47,10.64,0.07,26
163,VC00082021,VC08,106.41,10.77,-0.43,31
164,VC00092021,VC09,106.31,10.89,-0.65,32
165,VC00102021,VC10,106.26,11.08,0.72,35
166,NMT0012021,MT01,105.99,10.02,1.36,62
167,NMT0022021,MT02,106.11,10.1,1.36,30
168,NMT0032021,MT03,106.02,9.87,0.67,40
169,NMT0042021,MT04,106.21,10,0.76,61
170,NMT0052021,MT05,106.14,9.92,0.73,65
171,NMT0062021,MT06,106.31,9.99,0.68,60
172,NMT0072021,MT07,106.28,9.81,1.15,58
173,NMT0082021,MT08,106.15,9.76,0.91,67
174,NMT0092021,MT09,106.26,9.7,1.13,27
175,NMT0102021,MT10,106.38,9.66,0.47,41
176,NMT0112021,MT11,105.42,9.79,0.79,64
177,NMT0122021,MT12,105.92,9.96,1.00,62
178,NMT0132021,MT13,106.17,10.16,1.00,64
179,MOXN012021,OX01,105.64,10.08,0.97,56
180,MOXN022021,OX02,105.66,9.99,0.50,51
181,MOXN032021,OX03,105.63,9.93,0.53,51
182,MOXN042021,OX04,105.57,9.93,0.50,63
183,MOXN052021,OX05,105.56,9.98,0.00,65
184,MOXN062021,OX06,105.51,9.88,0.34,45
185,MOXN072021,OX07,105.46,9.82,0.50,60
186,MOXN082021,OX08,105.37,9.77,0.42,58
187,MOXN092021,OX09,105.48,9.89,0.61,63
188,MOXN102021,OX10,105.56,10.06,1.48,59
189,MOXN112021,OX11,105.62,10.12,1.00,54
190,MOXN122021,OX12,105.69,9.99,0.45,53
191,MOXN132021,OX13,105.46,9.78,0.94,43
192,DAUTI012019,C1-1,106.32,11.32,0.77,50
193,DAUTI022019,C2-1,106.25,11.37,0.77,64
194,DAUTI032019,C3-1,106.20,11.44,0.51,58
195,DAUTI042019,M1-L,106.62,10.99,0.51,54
196,DAUTI052019,M1-R,106.62,10.99,0.02,57
197,DAUTI062019,M2-L,106.65,10.1,0.40,53
198,DAUTI072019,M2-R,106.65,10.1,0.17,30
199,DAUTI082019,M3-L,106.69,10.89,0.39,52
200,DAUTI092019,M3-R,106.69,10.89,0.27,46
201,DAUTI102019,M4-L,106.26,11.08,0.49,51
202,DAUTI112019,M4-R,106.26,11.08,0.41,56
203,DAUTI122019,M5-L,106.39,10.56,0.30,52
204,DAUTI132019,M5-R,106.39,10.56,0.80,53
205,DAUTI142019,M6-L,106.69,10.56,0.36,25
206,DAUTI152019,M6-R,106.69,10.56,0.40,35
207,DAUTI162019,N1,106.06,11.46,0.52,34
208,DAUTI172019,N2,106.19,11.32,0.17,53
209,DAUTI182019,N3,106.20,11.42,0.26,28
210,DAUTI192019,N4,106.31,11.22,0.37,55
211,DAUTI202019,N5,106.31,11.05,0.40,60
212,DAUTI212019,N6,106.39,10.98,0.40,55
213,DAUTI222019,T1,106.11,11.39,-0.07,49
214,DAUTI232019,T2,106.08,11.31,0.43,48
215,DAUTI242019,T3,106.09,11.24,0.43,48
216,DAUTI192021,DD1,106.24,11.55,0.26,35
217,DAUTI202021,DD2,106.23,11.39,0.08,19
218,DAUTI212021,DD3,106.15,11.28,0.08,63
219,DAUTI222021,DD4,106.05,11.31,0.08,44
220,DAUTI232021,DD5,106.30,11.26,0.08,50
221,DAUTI242021,DD6,106.41,11.11,0.08,43
222,DAUTI252021,DD7,106.31,11.04,0.08,17
223,DAUTI262021,DD8,106.42,10.96,0.47,13
224,DAUTI272021,DD9,106.59,10.92,0.47,60
225,DAUTI282021,DD10,106.44,11.5,0.47,58
226,CLCB012019,CLCB1,105.16,9.76,0.47,58
227,CLCB022019,CLCB2,105.21,9.85,0.62,60
228,CLCB032019,CLCB3,105.05,9.8,0.27,48
229,CLCB042019,CLCB4,105.13,9.67,0.26,58
230,CLCB052019,CLCB5,105.30,9.47,0.09,53
231,CLCB062019,CLCB6,105.38,9.59,0.59,47
232,CLCB072019,CLCB7,105.38,9.78,0.40,34
233,CLCB082019,CLCB8,105.42,9.95,0.40,51
234,CLCB092019,CLCB9,105.35,9.88,-0.07,57
235,CLCB102019,CLCB10,105.39,10.06,0.19,49
236,CLCB112019,CLCB11,105.38,9.88,0.43,40
237,CLCB122019,CLCB12,105.38,9.78,0.88,42
238,CLCB132019,CLCB13,105.17,9.53,0.62,43
239,CLCB142019,CLCB14,105.24,9.73,0.08,48
240,CLCB152019,CLCB15,105.54,9.67,0.47,53
241,CLCB012020,CLCB1,105.05,9.89,0.48,37
242,CLCB022020,CLCB2,105.00,9.82,0.26,30
243,CLCB032020,CLCB3,105.07,9.74,0.09,47
244,CLCB042020,CLCB4,105.19,9.67,0.59,50
245,CLCB052020,CLCB5,105.26,9.6,0.59,38
246,CLCB062020,CLCB6,105.15,9.76,0.40,56
247,CLCB072020,CLCB7,105.25,9.76,0.40,54
248,CLCB082020,CLCB8,105.21,9.85,-0.07,51
249,CLCB092020,CLCB9,105.38,9.79,0.19,48
250,CLCB102020,CLCB10,105.11,9.86,0.43,60
251,CLCB112020,CLCB11,105.12,9.87,0.88,38
252,CLCB122020,CLCB12,105.34,9.68,0.88,55
253,CLCB132020,CLCB13,105.18,9.94,0.62,32
254,CLCB142020,CLCB14,105.18,9.89,0.08,58
255,CLCB152020,CLCB15,105.24,9.92,0.47,62
256,CLCB012021,CLCB1,105.05,9.89,0.14,51
257,CLCB022021,CLCB2,105.00,9.89,0.47,43
258,CLCB032021,CLCB3,105.07,9.74,0.64,53
259,CLCB042021,CLCB4,105.19,9.67,0.06,53
260,CLCB052021,CLCB5,105.26,9.6,0.52,53
261,CLCB062021,CLCB6,105.15,9.76,1.62,53
262,CLCB072021,CLCB7,105.25,9.76,0.95,55
263,CLCB082021,CLCB8,105.38,9.79,1.07,54
264,CLCB092021,CLCB9,105.24,9.92,1.07,48
265,CLCB102021,CLCB10,105.18,9.94,1.87,31
266,CLCB112021,CLCB11,105.12,9.87,1.56,43
267,CLCB122021,CLCB12,105.34,9.68,1.00,53
268,CLCB132021,DD1,105.24,9.69,0.73,52
269,CLCB142021,DD2,105.11,9.86,0.73,47
270,CLCB152021,DD3,105.00,9.76,0.73,40
271,CLCB162021,DD4,105.21,9.85,0.73,47
272,CLCB012022,CLCB1,105.05,9.89,0.73,22
273,CLCB022022,CLCB2,105.00,9.89,1.03,22
274,CLCB032022,CLCB3,105.07,9.74,1.04,55
275,CLCB042022,CLCB4,105.19,9.67,0.65,22
276,CLCB052022,CLCB5,105.26,9.6,0.40,32
277,CLCB062022,CLCB6,105.15,9.76,1.03,22
278,CLCB072022,CLCB7,105.25,9.76,0.99,30
279,CLCB082022,CLCB8,105.38,9.79,0.17,32
