airline,airline_id,src,src_id,dest,dest_id,codeshare,stops,equipment,src_lat,src_lon,dest_lat,dest_lon
VN,"5309",HAN,"3199",DAD,"3196",,"0","321","21.22120094","105.8069992","16.04389954","108.1989975"
VN,"5309",HAN,"3199",DIN,"6192",,"0",AT7,"21.22120094","105.8069992","21.39749908","103.0080032"
VN,"5309",HAN,"3199",DLI,"4153",,"0","321","21.22120094","105.8069992","11.75","108.366997"
VN,"5309",HAN,"3199",DME,"4029",,"0","330","21.22120094","105.8069992","55.40879822","37.90629959"
VN,"5309",HAN,"3199",FRA,"340",,"0","777","21.22120094","105.8069992","50.033333","8.570556"
VN,"5309",HAN,"3199",FUK,"2305",,"0","321","21.22120094","105.8069992","33.58589935","130.451004"
VN,"5309",HAN,"3199",HKG,"3077",,"0","321","21.22120094","105.8069992","22.308901","113.915001"
VN,"5309",HAN,"3199",HUI,"3201",,"0","321","21.22120094","105.8069992","16.4015007","107.7030029"
VN,"5309",HAN,"3199",ICN,"3930",,"0",321 330 332,"21.22120094","105.8069992","37.46910095","126.4509964"
VN,"5309",HAN,"3199",KHH,"2264",,"0","321","21.22120094","105.8069992","22.57710075","120.3499985"
VN,"5309",HAN,"3199",KIX,"3992",,"0","321","21.22120094","105.8069992","34.4272995","135.2440033"
VN,"5309",HAN,"3199",KUL,"3304",,"0","321","21.22120094","105.8069992","2.745579958","101.7099991"
VN,"5309",HAN,"3199",LPQ,"3115",,"0",AT7,"21.22120094","105.8069992","19.89730072","102.1610031"
VN,"5309",HAN,"3199",NGO,"3942",,"0","321","21.22120094","105.8069992","34.85839844","136.8049927"
VN,"5309",HAN,"3199",NRT,"2279",,"0",330 777,"21.22120094","105.8069992","35.76470184","140.3860016"
VN,"5309",HAN,"3199",PEK,"3364",,"0",321 777,"21.22120094","105.8069992","40.08010101","116.5849991"
VN,"5309",HAN,"3199",PNH,"3034",,"0","321","21.22120094","105.8069992","11.54660034","104.8440018"
VN,"5309",HAN,"3199",PQC,"3204",,"0","321","21.22120094","105.8069992","10.1698","103.9931"
VN,"5309",HAN,"3199",PUS,"2372",,"0","321","21.22120094","105.8069992","35.17950058","128.9380035"
VN,"5309",HAN,"3199",PVG,"3406",,"0","321","21.22120094","105.8069992","31.14340019","121.8050003"
VN,"5309",HAN,"3199",PXU,"6194",,"0",AT7,"21.22120094","105.8069992","14.00450039","108.0169983"
VN,"5309",HAN,"3199",REP,"3035",,"0","321","21.22120094","105.8069992","13.41069984","103.8130035"
VN,"5309",HAN,"3199",RGN,"3239",,"0","321","21.22120094","105.8069992","16.90730095","96.1332016"
VN,"5309",HAN,"3199",SGN,"3205",,"0",321 777 330 332,"21.22120094","105.8069992","10.81879997","106.6520004"
VN,"5309",HAN,"3199",SIN,"3316",,"0","321","21.22120094","105.8069992","1.35019","103.994003"
VN,"5309",HAN,"3199",TBB,"4158",,"0",AT7,"21.22120094","105.8069992","13.04959965","109.3339996"
VN,"5309",HAN,"3199",TPE,"2276",,"0","321","21.22120094","105.8069992","25.0777","121.233002"
VN,"5309",HAN,"3199",UIH,"6193",,"0","321","21.22120094","105.8069992","13.955","109.042"
VN,"5309",HAN,"3199",VCA,"6191",,"0","321","21.22120094","105.8069992","10.08510017","105.711998"
VN,"5309",HAN,"3199",VCL,"4157",,"0",AT7,"21.22120094","105.8069992","15.40330029","108.7060013"
VN,"5309",HAN,"3199",VDH,"4154",,"0",AT7,"21.22120094","105.8069992","17.515","106.590556"
VN,"5309",HAN,"3199",VII,"6195",,"0",AT7 321,"21.22120094","105.8069992","18.73760033","105.6709976"
VN,"5309",HAN,"3199",VTE,"3120",,"0","321","21.22120094","105.8069992","17.98830032","102.5630035"
VN,"5309",HGH,"3386",DAD,"3196",,"0","321","30.22949982","120.4339981","16.04389954","108.1989975"
VN,"5309",HKG,"3077",HAN,"3199",,"0","321","22.308901","113.915001","21.22120094","105.8069992"
VN,"5309",HKG,"3077",SGN,"3205",,"0",321 330,"22.308901","113.915001","10.81879997","106.6520004"
VN,"5309",HPH,"6188",DAD,"3196",,"0",AT7,"20.81940079","106.7249985","16.04389954","108.1989975"
VN,"5309",HPH,"6188",SGN,"3205",,"0","321","20.81940079","106.7249985","10.81879997","106.6520004"
VN,"5309",HUI,"3201",HAN,"3199",,"0","321","16.4015007","107.7030029","21.22120094","105.8069992"
VN,"5309",HUI,"3201",SGN,"3205",,"0","321","16.4015007","107.7030029","10.81879997","106.6520004"
VN,"5309",ICN,"3930",DAD,"3196",,"0","321","37.46910095","126.4509964","16.04389954","108.1989975"
VN,"5309",ICN,"3930",HAN,"3199",,"0",332 321 330,"37.46910095","126.4509964","21.22120094","105.8069992"
VN,"5309",ICN,"3930",SGN,"3205",,"0",332 321 330,"37.46910095","126.4509964","10.81879997","106.6520004"
VN,"5309",KHH,"2264",HAN,"3199",,"0","321","22.57710075","120.3499985","21.22120094","105.8069992"
VN,"5309",KHH,"2264",SGN,"3205",,"0","321","22.57710075","120.3499985","10.81879997","106.6520004"
VN,"5309",KIX,"3992",HAN,"3199",,"0","321","34.4272995","135.2440033","21.22120094","105.8069992"
VN,"5309",KIX,"3992",SGN,"3205",,"0","332","34.4272995","135.2440033","10.81879997","106.6520004"
VN,"5309",KUL,"3304",HAN,"3199",,"0","321","2.745579958","101.7099991","21.22120094","105.8069992"
VN,"5309",KUL,"3304",SGN,"3205",,"0","321","2.745579958","101.7099991","10.81879997","106.6520004"
VN,"5309",LPQ,"3115",HAN,"3199",,"0",AT7,"19.89730072","102.1610031","21.22120094","105.8069992"
VN,"5309",LPQ,"3115",REP,"3035",,"0",AT7,"19.89730072","102.1610031","13.41069984","103.8130035"
VN,"5309",MAD,"1229",FRA,"340",,"0","738","40.471926","-3.56264","50.033333","8.570556"
VN,"5309",MEL,"3339",SGN,"3205",,"0","330","-37.673302","144.843002","10.81879997","106.6520004"
VN,"5309",MNL,"2397",SGN,"3205",Y,"0","320","14.5086","121.019997","10.81879997","106.6520004"
VN,"5309",NBO,"4059",BKK,"3885",Y,"0","767","-1.319239974","36.92779922","13.68109989","100.7470016"
VN,"5309",NGO,"3942",HAN,"3199",,"0","321","34.85839844","136.8049927","21.22120094","105.8069992"
VN,"5309",NGO,"3942",SGN,"3205",,"0","321","34.85839844","136.8049927","10.81879997","106.6520004"
VN,"5309",NRT,"2279",HAN,"3199",,"0",330 777,"35.76470184","140.3860016","21.22120094","105.8069992"
VN,"5309",NRT,"2279",SGN,"3205",,"0",330 777 321,"35.76470184","140.3860016","10.81879997","106.6520004"
VN,"5309",PEK,"3364",HAN,"3199",,"0",321 777,"40.08010101","116.5849991","21.22120094","105.8069992"
VN,"5309",PNH,"3034",BKK,"3885",,"0","321","11.54660034","104.8440018","13.68109989","100.7470016"
VN,"5309",PNH,"3034",HAN,"3199",,"0","321","11.54660034","104.8440018","21.22120094","105.8069992"
VN,"5309",PNH,"3034",SGN,"3205",,"0","321","11.54660034","104.8440018","10.81879997","106.6520004"
VN,"5309",PNH,"3034",VTE,"3120",,"0","321","11.54660034","104.8440018","17.98830032","102.5630035"
VN,"5309",PQC,"3204",HAN,"3199",,"0","321","10.1698","103.9931","21.22120094","105.8069992"
VN,"5309",PQC,"3204",SGN,"3205",,"0",321 AT7,"10.1698","103.9931","10.81879997","106.6520004"
VN,"5309",PQC,"3204",VCA,"6191",,"0",AT7,"10.1698","103.9931","10.08510017","105.711998"
VN,"5309",PUS,"2372",HAN,"3199",,"0","321","35.17950058","128.9380035","21.22120094","105.8069992"
VN,"5309",PUS,"2372",SGN,"3205",,"0","321","35.17950058","128.9380035","10.81879997","106.6520004"
VN,"5309",PVG,"3406",DAD,"3196",,"0","321","31.14340019","121.8050003","16.04389954","108.1989975"
VN,"5309",PVG,"3406",HAN,"3199",,"0","321","31.14340019","121.8050003","21.22120094","105.8069992"
VN,"5309",PVG,"3406",SGN,"3205",,"0","321","31.14340019","121.8050003","10.81879997","106.6520004"
VN,"5309",PXU,"6194",DAD,"3196",,"0",AT7,"14.00450039","108.0169983","16.04389954","108.1989975"
VN,"5309",PXU,"6194",HAN,"3199",,"0",AT7,"14.00450039","108.0169983","21.22120094","105.8069992"
VN,"5309",PXU,"6194",SGN,"3205",,"0",AT7,"14.00450039","108.0169983","10.81879997","106.6520004"
VN,"5309",REP,"3035",DAD,"3196",,"0",AT7,"13.41069984","103.8130035","16.04389954","108.1989975"
VN,"5309",REP,"3035",HAN,"3199",,"0","321","13.41069984","103.8130035","21.22120094","105.8069992"
VN,"5309",REP,"3035",LPQ,"3115",,"0",AT7,"13.41069984","103.8130035","19.89730072","102.1610031"
VN,"5309",REP,"3035",SGN,"3205",,"0","321","13.41069984","103.8130035","10.81879997","106.6520004"
VN,"5309",RGN,"3239",HAN,"3199",,"0","321","16.90730095","96.1332016","21.22120094","105.8069992"
VN,"5309",RGN,"3239",SGN,"3205",,"0","321","16.90730095","96.1332016","10.81879997","106.6520004"
VN,"5309",SGN,"3205",AUH,"2179",Y,"0","332","10.81879997","106.6520004","24.43300056","54.65110016"
VN,"5309",SGN,"3205",BKK,"3885",,"0","321","10.81879997","106.6520004","13.68109989","100.7470016"
VN,"5309",SGN,"3205",BMV,"6187",,"0",AT7 321,"10.81879997","106.6520004","12.66829968","108.1200027"
VN,"5309",SGN,"3205",CAH,"4156",Y,"0",AT7,"10.81879997","106.6520004","9.177667","105.177778"
VN,"5309",SGN,"3205",CAN,"3370",,"0","321","10.81879997","106.6520004","23.39240074","113.2990036"
VN,"5309",SGN,"3205",CDG,"1382",,"0","777","10.81879997","106.6520004","49.012798","2.55"
VN,"5309",SGN,"3205",CGK,"3275",,"0","321","10.81879997","106.6520004","-6.12556982","106.6559982"
VN,"5309",SGN,"3205",CXR,"6189",,"0",332 321 330,"10.81879997","106.6520004","11.99820042","109.2190018"
VN,"5309",SGN,"3205",DAD,"3196",,"0","321","10.81879997","106.6520004","16.04389954","108.1989975"
VN,"5309",SGN,"3205",DLI,"4153",,"0","321","10.81879997","106.6520004","11.75","108.366997"
VN,"5309",SGN,"3205",DME,"4029",,"0",332 330,"10.81879997","106.6520004","55.40879822","37.90629959"
VN,"5309",SGN,"3205",FOC,"3385",,"0","321","10.81879997","106.6520004","25.93510056","119.663002"
VN,"5309",SGN,"3205",FRA,"340",,"0","777","10.81879997","106.6520004","50.033333","8.570556"
VN,"5309",SGN,"3205",FUK,"2305",,"0","321","10.81879997","106.6520004","33.58589935","130.451004"
