column_0,Name,Description,AOI Group,geometry,centroid,centroid_lat,centroid_lon,timezone
23,fazenda_grato,,Farm,"MULTIPOLYGON (((-45.94301412934466 -13.26720855257737, -45.94074456171442 -13.27184602308999, -45.93705122805527 -13.27013099253491, -45.93951814939248 -13.2653425631391, -45.94301412934466 -13.26720855257737)))",POINT (-45.94006401060431 -13.26863633830667),-13.268636338306667,-45.94006401060431,America/Bahia
24,cargill_roda_vehla,,Cargill,"MULTIPOLYGON (((-45.95281133122675 -12.7610486576835, -45.95255759074636 -12.76214853540628, -45.94882196700713 -12.76317279223523, -45.94956204340829 -12.76226539713328, -45.95022458799601 -12.76034060886944, -45.95281133122675 -12.7610486576835)))",POINT (-45.9509617281451 -12.76169570543736),-12.761695705437361,-45.9509617281451,America/Bahia
25,franor_fazenda_palmeiras,Grupo Franor,Farm,"MULTIPOLYGON (((-45.70865389464934 -12.65270544592673, -45.70695618867248 -12.65443069024478, -45.70505313506948 -12.65248445336399, -45.70665216419285 -12.65097926716382, -45.70865389464934 -12.65270544592673)))",POINT (-45.70684040637177 -12.65266951655956),-12.652669516559563,-45.70684040637177,America/Bahia
26,slc_fazenda_palmares,SLC Agricola,SLC Agricola,"MULTIPOLYGON (((-46.06273558392672 -11.6663212780015, -46.05602555788948 -11.66858536774994, -46.06059288653667 -11.68007119689235, -46.06707736548023 -11.67800046958462, -46.06273558392672 -11.6663212780015)))",POINT (-46.06159789192505 -11.67320397041146),-11.67320397041146,-46.061597891925054,America/Bahia
27,fazenda_santana,,Farm,"MULTIPOLYGON (((-45.72307575752446 -11.67148448008456, -45.71850842887726 -11.67362428165689, -45.71977713127926 -11.67721358915173, -45.72445723347331 -11.67557079648787, -45.72307575752446 -11.67148448008456)))",POINT (-45.72150118852054 -11.67445017641485),-11.674450176414853,-45.72150118852054,America/Bahia
28,fazenda_triunfo,,Farm,"MULTIPOLYGON (((-45.61878489590664 -11.45740070987653, -45.61713558278403 -11.4636177442113, -45.61255415744346 -11.46223619284547, -45.61418937387271 -11.4564059716927, -45.61878489590664 -11.45740070987653)))",POINT (-45.6156866089245 -11.45993048541517),-11.459930485415171,-45.6156866089245,America/Bahia
29,unnamed_farm_002,,Farm,"MULTIPOLYGON (((-46.07319180622309 -11.52610514328482, -46.07302264590282 -11.52916457751604, -46.07083061008604 -11.5285913679036, -46.07111959229983 -11.52567005255222, -46.07319180622309 -11.52610514328482)))",POINT (-46.07204642394317 -11.5273992702501),-11.5273992702501,-46.07204642394317,America/Bahia
30,unnamed_farm_003,,Farm,"MULTIPOLYGON (((-44.98967467981898 -9.279681287140246, -44.9871437258556 -9.281633811786588, -44.98532571667064 -9.279769238934739, -44.98830226112053 -9.277588027921491, -44.98967467981898 -9.279681287140246)))",POINT (-44.98758500860725 -9.279650322893781),-9.279650322893781,-44.98758500860725,America/Fortaleza
31,fazenda_santa_isabel,,Farm,"MULTIPOLYGON (((-44.94239752920015 -9.343009650304872, -44.93812567501089 -9.34325982094736, -44.93836338663299 -9.347085102016671, -44.94227876843303 -9.346940455139045, -44.94239752920015 -9.343009650304872)))",POINT (-44.94029867115553 -9.345045134122074),-9.345045134122074,-44.94029867115553,America/Fortaleza
32,unnamed_silo_1,,Silo,"MULTIPOLYGON (((-46.33293170888302 -9.097699482207828, -46.33072158006993 -9.100374581175759, -46.33211182238784 -9.104316795819198, -46.33521132073879 -9.106531498939985, -46.33854433757786 -9.101885337976531, -46.33293170888302 -9.097699482207828)))",POINT (-46.3343171493499 -9.10207429984605),-9.10207429984605,-46.3343171493499,America/Fortaleza
33,port_tegram_itaqui,Owned by ALZ,Port,"MULTIPOLYGON (((-44.36539572436003 -2.565906202034121, -44.36465604415243 -2.565104943066716, -44.36341730259993 -2.564552964374916, -44.3621696492377 -2.564392712452038, -44.36255285705609 -2.56822094734092, -44.36367574508211 -2.57120340145554, -44.36618887542603 -2.570660328240147, -44.36539572436003 -2.565906202034121)))",POINT (-44.36412112327756 -2.567815589311322),-2.5678155893113224,-44.36412112327756,America/Fortaleza
34,j&h sementes,,Fertiliser/Seed,"MULTIPOLYGON (((-46.15914696323878 -13.76571316573902, -46.1535503467282 -13.76675186356895, -46.15486929456828 -13.77592682732807, -46.16032332212318 -13.77525170076036, -46.15914696323878 -13.76571316573902)))",POINT (-46.15698542173158 -13.7708819190611),-13.770881919061104,-46.15698542173158,America/Bahia
35,fazenda_delta,,Farm,"MULTIPOLYGON (((-45.97320205321778 -13.77780505380001, -45.97013639067058 -13.78440036540125, -45.96514577722167 -13.78135373541445, -45.96805102719372 -13.7748275817909, -45.97320205321778 -13.77780505380001)))",POINT (-45.96914713004472 -13.77959069258055),-13.779590692580546,-45.969147130044725,America/Bahia
36,fazenda_jatoba,Brasil Agro. Cattle farm.,Farm,"MULTIPOLYGON (((-45.96694596278716 -13.9908376323217, -45.96480712845192 -13.99417551821733, -45.95671520521689 -13.98909084370619, -45.95890751041051 -13.98578747451308, -45.96694596278716 -13.9908376323217)))",POINT (-45.96184287790879 -13.98997479944421),-13.989974799444214,-45.961842877908786,America/Bahia
37,rio_pratudao_agropecuaria,,Farm,"MULTIPOLYGON (((-45.95080667536575 -14.19575059732997, -45.94786577815479 -14.19624305824767, -45.94820442692453 -14.19833384530796, -45.95117205956469 -14.1981092162187, -45.95080667536575 -14.19575059732997)))",POINT (-45.94954151509259 -14.1971046439801),-14.197104643980097,-45.94954151509259,America/Bahia
38,unnamed_farm_004,,Farm,"MULTIPOLYGON (((-45.72524431518909 -14.05500128474265, -45.72205388730567 -14.05273628037474, -45.72036064345693 -14.05527792525405, -45.72358671857927 -14.05743916675806, -45.72524431518909 -14.05500128474265)))",POINT (-45.72280299377127 -14.05510566132688),-14.055105661326875,-45.72280299377127,America/Bahia
39,unnamed_farm_005,,Farm,"MULTIPOLYGON (((-45.63103757453096 -14.15424179753265, -45.62842641428001 -14.15187408471981, -45.62643016890046 -14.15384430114415, -45.62907697639033 -14.15627248702019, -45.63103757453096 -14.15424179753265)))",POINT (-45.62874124614674 -14.15406281810736),-14.154062818107363,-45.62874124614674,America/Bahia
40,fazenda_sao_francisco,,Farm,"MULTIPOLYGON (((-45.95735492834181 -13.7247014960898, -45.95313826700287 -13.72369571514956, -45.95234764300183 -13.72729821966954, -45.95643253367392 -13.72828569855666, -45.95735492834181 -13.7247014960898)))",POINT (-45.95482177152421 -13.72598628463343),-13.725986284633427,-45.95482177152421,America/Bahia
41,fazenda_vale_do_arrojado,,Farm,"MULTIPOLYGON (((-46.01277390593921 -13.76026222181679, -46.0118609234618 -13.76198092198481, -46.00933845641084 -13.76102101121359, -46.00912197602959 -13.75863493023443, -46.0096961196494 -13.75792184384006, -46.01277390593921 -13.76026222181679)))",POINT (-46.01071416803567 -13.7600987992737),-13.760098799273699,-46.01071416803567,America/Bahia
42,apa_nrv_clearing,,National Park,"MULTIPOLYGON (((-46.19202907379646 -14.24041594269394, -46.18747357359994 -14.24052541827703, -46.1881700756961 -14.24402861117477, -46.19218908103477 -14.2439647513742, -46.19202907379646 -14.24041594269394)))",POINT (-46.18996446455652 -14.24219655161522),-14.242196551615221,-46.189964464556525,America/Sao_Paulo
43,unnamed_farm_006,,Farm,"MULTIPOLYGON (((-45.83881780132713 -14.70203519598232, -45.83569295408488 -14.70556752852736, -45.82985739598189 -14.70065138002603, -45.83313283827196 -14.69708255104234, -45.83881780132713 -14.70203519598232)))",POINT (-45.8343595461128 -14.7013267595486),-14.701326759548598,-45.8343595461128,America/Bahia
44,bunge_urucui,Soy processing plant,Bunge,"MULTIPOLYGON (((-44.39993623951039 -7.37605555711538, -44.39580428788585 -7.372116463437969, -44.38915928140083 -7.379154535085629, -44.39312181359657 -7.383196241807614, -44.39993623951039 -7.37605555711538)), ((-44.39634078274371 -7.380722684341902, -44.39481600788453 -7.382262825521389, -44.39657608750592 -7.383849632035576, -44.39808203798411 -7.382272159694003, -44.39634078274371 -7.380722684341902)))",POINT (-44.3946800982902 -7.378023049567718),-7.378023049567718,-44.3946800982902,America/Fortaleza
45,fazenda_celeiro_jaborandi,,Farm,"MULTIPOLYGON (((-45.5500165014196 -14.37364033179528, -45.54753168313057 -14.3800225362787, -45.54271264160036 -14.37670381268906, -45.54489626979374 -14.37152504667954, -45.5500165014196 -14.37364033179528)))",POINT (-45.54636364017829 -14.3755314993285),-14.375531499328503,-45.54636364017829,America/Bahia
46,fazenda_dileta,Grupo Zancanaro,Farm,"MULTIPOLYGON (((-45.49616767844709 -14.31210423526317, -45.49028335366222 -14.31215077971639, -45.49028335366222 -14.31957449651309, -45.49614366079491 -14.31957449651309, -45.49616767844709 -14.31210423526317)))",POINT (-45.49322256803524 -14.31584845965133),-14.315848459651333,-45.49322256803524,America/Bahia
47,fazenda_santa_helena,,Farm,"MULTIPOLYGON (((-46.31882702452111 -12.12365498649594, -46.31558983988138 -12.12586832792457, -46.31689127559803 -12.12748287940803, -46.31994254084967 -12.12528024382965, -46.31882702452111 -12.12365498649594)))",POINT (-46.31779587305252 -12.12557507995279),-12.125575079952792,-46.317795873052525,America/Bahia
48,fazenda_alvorada,,Farm,"MULTIPOLYGON (((-46.03031294350532 -11.98076487310442, -46.0289349527465 -11.9828296191251, -46.02137787644228 -11.9778656420106, -46.02278867650487 -11.97576875964057, -46.03031294350532 -11.98076487310442)))",POINT (-46.02584222823693 -11.97929996440755),-11.979299964407545,-46.02584222823693,America/Bahia
49,fazenda_agronol,,Farm,"MULTIPOLYGON (((-45.72983713715264 -11.9513217945947, -45.72904971386188 -11.95517354226534, -45.73251656362808 -11.95674632346737, -45.73340241483017 -11.95471347528759, -45.72983713715264 -11.9513217945947)))",POINT (-45.73106653572491 -11.95435060278457),-11.954350602784572,-45.731066535724906,America/Bahia
50,fazenda_barcelona_ouro_verde,,Farm,"MULTIPOLYGON (((-46.02055764384792 -11.59615553920478, -46.0185015941443 -11.59420572840545, -46.02033891515605 -11.59249159786787, -46.02226372764452 -11.59444142053161, -46.02055764384792 -11.59615553920478)))",POINT (-46.02040445153415 -11.59432219505911),-11.594322195059112,-46.02040445153415,America/Bahia
51,fazenda_lg_ouro_verde,,Farm,"MULTIPOLYGON (((-46.01769229798436 -11.58593495150011, -46.01576748549589 -11.58754198690287, -46.01851253057889 -11.5904024870521, -46.02029516941766 -11.58872047365774, -46.01769229798436 -11.58593495150011)))",POINT (-46.01805624332325 -11.5881503729549),-11.588150372954896,-46.01805624332325,America/Bahia
52,fazenda_dom_laurindo,,Farm,"MULTIPOLYGON (((-45.84065329478187 -12.08434106097866, -45.83603811938334 -12.08260861302611, -45.83328213786573 -12.08757065623193, -45.83837851638638 -12.08994470470236, -45.84065329478187 -12.08434106097866)))",POINT (-45.83708768308542 -12.08618744130077),-12.086187441300767,-45.83708768308542,America/Bahia
53,loureiro_agro,,Farm,"MULTIPOLYGON (((-45.98421040347585 -12.03634704115717, -45.98090760022856 -12.04248648687075, -45.97266152854491 -12.03784447005832, -45.9761393147457 -12.03226115408376, -45.98421040347585 -12.03634704115717)))",POINT (-45.97850755074823 -12.03727941327152),-12.037279413271516,-45.97850755074823,America/Bahia
54,franor_fazenda_sao_luis,,Farm,"MULTIPOLYGON (((-45.73203635403888 -12.92344472621332, -45.73046055701283 -12.92790879109151, -45.72418682305865 -12.92551169865247, -45.72586570960977 -12.92129161172795, -45.73203635403888 -12.92344472621332)))",POINT (-45.72815529700662 -12.92455707757717),-12.924557077577175,-45.728155297006616,America/Bahia
55,cooproeste_roda_velha,,Silo,"MULTIPOLYGON (((-45.94201154096153 -12.74696203184411, -45.9373585834739 -12.74790039643566, -45.9385305690065 -12.75313811332095, -45.94298236479825 -12.75222535917187, -45.94201154096153 -12.74696203184411)))",POINT (-45.94021581738517 -12.75003764443887),-12.75003764443887,-45.940215817385166,America/Bahia
56,bunge_roda_velha,,Bunge,"MULTIPOLYGON (((-45.94520388961377 -12.76204368872088, -45.94098824016068 -12.76288816668973, -45.94173166381943 -12.76641958946537, -45.94600853639734 -12.76566895300218, -45.94520388961377 -12.76204368872088)))",POINT (-45.94349369011793 -12.76425598100065),-12.764255981000648,-45.94349369011793,America/Bahia
57,horita_fazenda_ventura,,Horita,"MULTIPOLYGON (((-46.16725579031839 -13.13163151076759, -46.15973409212409 -13.12934882231971, -46.16172821676165 -13.14737126234503, -46.16725579031839 -13.13163151076759)))",POINT (-46.16290603306804 -13.13611719847744),-13.136117198477445,-46.16290603306804,America/Bahia
58,fazenda_morro_agudo,,Farm,"MULTIPOLYGON (((-46.17205743253779 -13.11407640967592, -46.16981841540088 -13.11439157780661, -46.16981841540088 -13.11712585733882, -46.17216238646608 -13.11579705239157, -46.17205743253779 -13.11407640967592)))",POINT (-46.17088143697659 -13.11538783510904),-13.115387835109038,-46.17088143697659,America/Bahia
59,fazenda_santa_rosa,,Farm,"MULTIPOLYGON (((-45.86896797995032 -10.98909684534699, -45.86563569272703 -10.98931148993152, -45.86574939281601 -10.99159529864097, -45.86901171075378 -10.99151802720669, -45.86896797995032 -10.98909684534699)))",POINT (-45.86735670638494 -10.99037529529908),-10.990375295299076,-45.86735670638494,America/Bahia
60,fazenda_sao_marcos,,Farm,"MULTIPOLYGON (((-45.78349612459709 -11.01504195051566, -45.78178187710165 -11.01509346069514, -45.78186933870856 -11.01720537029215, -45.78353110923985 -11.01717103041991, -45.78349612459709 -11.01504195051566)))",POINT (-45.78267050215504 -11.01612238494894),-11.016122384948938,-45.782670502155035,America/Bahia
61,fazenda_ouro_verde,,Farm,"MULTIPOLYGON (((-46.15954604966931 -13.56222422947849, -46.15503303075272 -13.56337203466469, -46.15596012378597 -13.56714699926208, -46.16066555823776 -13.5659567015878, -46.15954604966931 -13.56222422947849)))",POINT (-46.15780532467192 -13.5646877873422),-13.564687787342196,-46.15780532467192,America/Bahia
62,alz_correntina,,ALZ,"MULTIPOLYGON (((-46.10233194623875 -13.51730775001467, -46.09903901673857 -13.51701861770099, -46.09828684691916 -13.51156755756708, -46.1016541187852 -13.51189071281326, -46.10233194623875 -13.51730775001467)))",POINT (-46.10032531133113 -13.51443641343194),-13.514436413431941,-46.100325311331126,America/Bahia
63,unnamed_farm_007,,Farm,"MULTIPOLYGON (((-45.76271415352554 -13.87994527037159, -45.75578719425824 -13.87561493355122, -45.75216628373215 -13.88096416140087, -45.75897079674978 -13.88536232295926, -45.76271415352554 -13.87994527037159)))",POINT (-45.75742276588662 -13.88047506737142),-13.880475067371416,-45.757422765886616,America/Bahia
64,unnamed_farm_008,,Farm,"MULTIPOLYGON (((-46.19996533803275 -13.85856026231219, -46.1947526262609 -13.85896785682176, -46.19562724233 -13.86443634729969, -46.20094490803016 -13.86416462410578, -46.19996533803275 -13.85856026231219)))",POINT (-46.1978349056093 -13.86153867723355),-13.861538677233554,-46.1978349056093,America/Bahia
65,fazenda_vacaco,,Farm,"MULTIPOLYGON (((-46.0042525002495 -14.01062807729262, -46.00273941444995 -14.0126392433052, -46.00513586247929 -14.01414124187337, -46.00651775586848 -14.01209614535878, -46.0042525002495 -14.01062807729262)))",POINT (-46.00465258559794 -14.01238184053752),-14.012381840537522,-46.00465258559794,America/Bahia
66,fazenda_tertulia,,Farm,"MULTIPOLYGON (((-46.00466356980196 -14.04403490775736, -46.0010076746331 -14.04191371452109, -45.99959079660116 -14.04403490775736, -46.00322919944863 -14.04634274368553, -46.00466356980196 -14.04403490775736)))",POINT (-46.00213987060843 -14.044097121988),-14.044097121987996,-46.00213987060843,America/Bahia
67,unnamed_farm_009,,Farm,"MULTIPOLYGON (((-46.24044256971086 -10.88442296986566, -46.23693535927377 -10.88459474617637, -46.23715401329104 -10.887789767503, -46.24056501596054 -10.88761799303448, -46.24044256971086 -10.88442296986566)))",POINT (-46.23877341557958 -10.88609900482034),-10.88609900482034,-46.23877341557958,America/Bahia
68,fazenda_sao_francisco_sede,,Farm,"MULTIPOLYGON (((-45.51920354756574 -11.67493574226081, -45.51276637329713 -11.67575800169189, -45.51316869668893 -11.68000630323518, -45.51974580952859 -11.67923544690323, -45.51920354756574 -11.67493574226081)))",POINT (-45.51623048706588 -11.6774900738521),-11.677490073852098,-45.51623048706588,America/Bahia
69,bunge_nova_santa_rosa,,Bunge,"MULTIPOLYGON (((-44.5747659086508 -8.28480463440815, -44.5728316114108 -8.283170633829711, -44.5713690939854 -8.28486688191507, -44.5713061900101 -8.286563122688049, -44.572454187559 -8.287465706540161, -44.5747659086508 -8.28480463440815)))",POINT (-44.57276664139295 -8.285293332246175),-8.285293332246175,-44.572766641392946,America/Fortaleza
70,unnamed_farm_010,,Farm,"MULTIPOLYGON (((-45.44351785013721 -11.38721846517427, -45.44983813245836 -11.39017242209709, -45.44431661921952 -11.39543316506807, -45.43799363465064 -11.39141069955675, -45.44351785013721 -11.38721846517427)))",POINT (-45.44393348055084 -11.39114598485511),-11.39114598485511,-45.44393348055084,America/Bahia
71,unnamed_farm_011,,Farm,"MULTIPOLYGON (((-46.5642111269761 -8.067967628915371, -46.5624480805414 -8.06740903771694, -46.5611434261796 -8.06910226491059, -46.563188560044 -8.069957603785809, -46.5642111269761 -8.067967628915371)))",POINT (-46.56274182873064 -8.068644765320382),-8.068644765320382,-46.562741828730644,America/Araguaina
72,unnamed_farm_012,,Farm,"MULTIPOLYGON (((-46.6454374730641 -8.013455050437207, -46.64250567625388 -8.012491978856616, -46.6415350537434 -8.014542578803431, -46.6417633520489 -8.01694237527547, -46.64433804926026 -8.017153782423112, -46.6454374730641 -8.013455050437207)))",POINT (-46.64332364840428 -8.014911069400613),-8.014911069400613,-46.64332364840428,America/Araguaina
73,fazenda_friere_matriz,,Farm,"MULTIPOLYGON (((-46.144145284771 -11.5394490826866, -46.1432195808635 -11.5391529216018, -46.1416389571848 -11.5393565323812, -46.1418908494045 -11.5413864620725, -46.1428354452284 -11.5415036916061, -46.1434085000283 -11.5413371022542, -46.144145284771 -11.5394490826866)))",POINT (-46.14278560155947 -11.54025558533728),-11.540255585337281,-46.14278560155947,America/Bahia
74,unnamed_farm_013,,Farm,"MULTIPOLYGON (((-46.7323298992841 -8.149227232496971, -46.7296623684113 -8.151364851122411, -46.7326262916033 -8.15482273941813, -46.7355267021555 -8.152999492951979, -46.7323298992841 -8.149227232496971)))",POINT (-46.73255348670849 -8.152087577173729),-8.15208757717373,-46.73255348670849,America/Araguaina
75,fazenda_laranjeiras,,Farm,"MULTIPOLYGON (((-44.5724310552021 -8.704015168429381, -44.5659901916887 -8.701832298320131, -44.5635569765836 -8.70811812130583, -44.5701205232116 -8.710381800182351, -44.5724310552021 -8.704015168429381)))",POINT (-44.56802351496186 -8.706098849770539),-8.70609884977054,-44.56802351496186,America/Fortaleza
76,fazenda_redencao_do_gurguela,,Farm,"MULTIPOLYGON (((-44.9016475971007 -9.29796905066557, -44.8993809318361 -9.29830686572123, -44.9001025640428 -9.301621088026, -44.902239705578 -9.3013015362788, -44.9016475971007 -9.29796905066557)))",POINT (-44.90083942735966 -9.299783378658342),-9.299783378658342,-44.90083942735966,America/Fortaleza
77,fazenda_sao_joao,,Farm,"MULTIPOLYGON (((-44.5836001189288 -9.0144771543728, -44.57942770135769 -9.015337592522245, -44.57940994069755 -9.01800385306897, -44.58407675102611 -9.017997013288802, -44.5836001189288 -9.0144771543728)))",POINT (-44.58173712017177 -9.016468398983331),-9.016468398983331,-44.58173712017177,America/Fortaleza
